,formula,gfa
272,Al30Ce70,0
273,Al29Ce71,0
274,Al28Ce72,0
275,Al27Ce73,0
276,Al26Ce74,0
277,Al25Ce75,0
278,Al24Ce76,0
279,Al23Ce77,0
280,Al22Ce78,0
281,Al21Ce79,0
282,Al20Ce80,0
283,Al19Ce81,0
284,Al18Ce82,0
285,Al17Ce83,0
286,Al16Ce84,0
287,Al15Ce85,0
288,Al14Ce86,0
289,Al13Ce87,0
290,Al12Ce88,0
291,Al11Ce89,0
292,Al10Ce90,0
293,Al9Ce91,0
294,Al8Ce92,0
295,Al7Ce93,0
296,Al6Ce94,0
297,Al5Ce95,0
298,Al4Ce96,0
299,Al3Ce97,0
300,Al2Ce98,0
301,Al1Ce99,0
302,Al0Ce100,0
303,Al100Dy0,0
304,Al99Dy1,0
305,Al98Dy2,0
306,Al97Dy3,0
307,Al96Dy4,0
308,Al95Dy5,0
309,Al94Dy6,0
310,Al93Dy7,0
311,Al92Dy8,0
312,Al91Dy9,1
313,Al90Dy10,1
314,Al89Dy11,1
315,Al88Dy12,1
316,Al87Dy13,0
317,Al86Dy14,0
318,Al85Dy15,0
319,Al84Dy16,0
320,Al83Dy17,0
321,Al82Dy18,0
322,Al81Dy19,0
323,Al80Dy20,0
324,Al79Dy21,0
325,Al78Dy22,0
326,Al77Dy23,0
327,Al76Dy24,0
328,Al75Dy25,0
329,Al74Dy26,0
330,Al73Dy27,0
331,Al72Dy28,0
332,Al71Dy29,0
333,Al70Dy30,0
334,Al69Dy31,0
335,Al68Dy32,0
336,Al67Dy33,0
337,Al66Dy34,0
338,Al65Dy35,0
339,Al64Dy36,0
340,Al63Dy37,0
341,Al62Dy38,0
342,Al61Dy39,0
343,Al60Dy40,0
344,Al59Dy41,0
345,Al58Dy42,0
346,Al57Dy43,0
347,Al56Dy44,0
348,Al55Dy45,0
349,Al54Dy46,0
350,Al53Dy47,0
351,Al52Dy48,0
352,Al51Dy49,0
353,Al50Dy50,0
354,Al49Dy51,0
355,Al48Dy52,0
356,Al47Dy53,0
357,Al46Dy54,0
358,Al45Dy55,0
359,Al44Dy56,0
360,Al43Dy57,0
361,Al42Dy58,0
362,Al41Dy59,0
363,Al40Dy60,0
364,Al39Dy61,0
365,Al38Dy62,0
366,Al37Dy63,0
367,Al36Dy64,0
368,Al35Dy65,0
369,Al34Dy66,0
370,Al33Dy67,0
371,Al32Dy68,0
372,Al31Dy69,0
373,Al30Dy70,0
374,Al29Dy71,0
375,Al28Dy72,0
376,Al27Dy73,0
377,Al26Dy74,0
378,Al25Dy75,0
379,Al24Dy76,0
380,Al23Dy77,0
381,Al22Dy78,0
382,Al21Dy79,0
383,Al20Dy80,0
384,Al19Dy81,0
385,Al18Dy82,0
386,Al17Dy83,0
387,Al16Dy84,0
388,Al15Dy85,0
389,Al14Dy86,0
390,Al13Dy87,0
391,Al12Dy88,0
392,Al11Dy89,0
393,Al10Dy90,0
394,Al9Dy91,0
395,Al8Dy92,0
396,Al7Dy93,0
397,Al6Dy94,0
398,Al5Dy95,0
399,Al4Dy96,0
400,Al3Dy97,0
401,Al2Dy98,0
402,Al1Dy99,0
403,Al0Dy100,0
404,Al100Er0,0
405,Al99Er1,0
406,Al98Er2,0
407,Al97Er3,0
408,Al96Er4,0
409,Al95Er5,0
410,Al94Er6,0
411,Al93Er7,0
412,Al92Er8,0
413,Al91Er9,1
414,Al90Er10,1
415,Al89Er11,1
416,Al88Er12,1
417,Al87Er13,0
418,Al86Er14,0
419,Al85Er15,0
420,Al84Er16,0
421,Al83Er17,0
422,Al82Er18,0
423,Al81Er19,0
424,Al80Er20,0
425,Al79Er21,0
426,Al78Er22,0
427,Al77Er23,0
428,Al76Er24,0
429,Al75Er25,0
430,Al74Er26,0
431,Al73Er27,0
432,Al72Er28,0
433,Al71Er29,0
434,Al70Er30,0
435,Al69Er31,0
436,Al68Er32,0
437,Al67Er33,0
438,Al66Er34,0
439,Al65Er35,0
440,Al64Er36,0
441,Al63Er37,0
442,Al62Er38,0
443,Al61Er39,0
444,Al60Er40,0
445,Al59Er41,0
446,Al58Er42,0
447,Al57Er43,0
448,Al56Er44,0
449,Al55Er45,0
450,Al54Er46,0
451,Al53Er47,0
452,Al52Er48,0
453,Al51Er49,0
454,Al50Er50,0
455,Al49Er51,0
456,Al48Er52,0
457,Al47Er53,0
458,Al46Er54,0
459,Al45Er55,0
460,Al44Er56,0
461,Al43Er57,0
462,Al42Er58,0
463,Al41Er59,0
464,Al40Er60,0
465,Al39Er61,0
466,Al38Er62,0
467,Al37Er63,0
468,Al36Er64,0
469,Al35Er65,0
470,Al34Er66,0
471,Al33Er67,0
472,Al32Er68,0
473,Al31Er69,0
474,Al30Er70,0
475,Al29Er71,0
476,Al28Er72,0
477,Al27Er73,0
478,Al26Er74,0
479,Al25Er75,0
480,Al24Er76,0
481,Al23Er77,0
482,Al22Er78,0
483,Al21Er79,0
484,Al20Er80,0
485,Al19Er81,0
486,Al18Er82,0
487,Al17Er83,0
488,Al16Er84,0
489,Al15Er85,0
490,Al14Er86,0
491,Al13Er87,0
492,Al12Er88,0
493,Al11Er89,0
494,Al10Er90,0
495,Al9Er91,0
496,Al8Er92,0
497,Al7Er93,0
498,Al6Er94,0
499,Al5Er95,0
500,Al4Er96,0
501,Al3Er97,0
502,Al2Er98,0
503,Al1Er99,0
504,Al0Er100,0
505,Al100Gd0,0
506,Al99Gd1,0
507,Al98Gd2,0
508,Al97Gd3,0
509,Al96Gd4,0
510,Al95Gd5,0
511,Al94Gd6,0
512,Al93Gd7,0
513,Al92Gd8,1
514,Al91Gd9,1
515,Al90Gd10,1
516,Al89Gd11,1
517,Al88Gd12,1
518,Al87Gd13,0
519,Al86Gd14,0
520,Al85Gd15,0
521,Al84Gd16,0
522,Al83Gd17,0
523,Al82Gd18,0
524,Al81Gd19,0
525,Al80Gd20,0
526,Al79Gd21,0
527,Al78Gd22,0
528,Al77Gd23,0
529,Al76Gd24,0
530,Al75Gd25,0
531,Al74Gd26,0
532,Al73Gd27,0
533,Al72Gd28,0
534,Al71Gd29,0
535,Al70Gd30,0
536,Al69Gd31,0
537,Al68Gd32,0
538,Al67Gd33,0
539,Al66Gd34,0
540,Al65Gd35,0
541,Al64Gd36,0
542,Al63Gd37,0
543,Al62Gd38,0
544,Al61Gd39,0
545,Al60Gd40,0
546,Al59Gd41,0
547,Al58Gd42,0
548,Al57Gd43,0
549,Al56Gd44,0
550,Al55Gd45,0
551,Al54Gd46,0
552,Al53Gd47,0
553,Al52Gd48,0
554,Al51Gd49,0
555,Al50Gd50,0
556,Al49Gd51,0
557,Al48Gd52,0
558,Al47Gd53,0
559,Al46Gd54,0
560,Al45Gd55,0
561,Al44Gd56,0
562,Al43Gd57,0
563,Al42Gd58,0
564,Al41Gd59,0
565,Al40Gd60,0
566,Al39Gd61,0
567,Al38Gd62,0
568,Al37Gd63,0
569,Al36Gd64,0
570,Al35Gd65,0
571,Al34Gd66,0
572,Al33Gd67,0
573,Al32Gd68,0
574,Al31Gd69,0
575,Al30Gd70,0
576,Al29Gd71,0
577,Al28Gd72,0
578,Al27Gd73,0
579,Al26Gd74,0
580,Al25Gd75,0
581,Al24Gd76,0
582,Al23Gd77,0
583,Al22Gd78,0
584,Al21Gd79,0
585,Al20Gd80,0
586,Al19Gd81,0
587,Al18Gd82,0
588,Al17Gd83,0
589,Al16Gd84,0
590,Al15Gd85,0
591,Al14Gd86,0
592,Al13Gd87,0
593,Al12Gd88,0
594,Al11Gd89,0
595,Al10Gd90,0
596,Al9Gd91,0
597,Al8Gd92,0
598,Al7Gd93,0
599,Al6Gd94,0
600,Al5Gd95,0
601,Al4Gd96,0
602,Al3Gd97,0
603,Al2Gd98,0
604,Al1Gd99,0
605,Al0Gd100,0
606,Al100Ho0,0
607,Al99Ho1,0
608,Al98Ho2,0
609,Al97Ho3,0
610,Al96Ho4,0
611,Al95Ho5,0
612,Al94Ho6,0
613,Al93Ho7,0
614,Al92Ho8,0
615,Al91Ho9,1
616,Al90Ho10,1
617,Al89Ho11,1
618,Al88Ho12,1
619,Al87Ho13,0
620,Al86Ho14,0
621,Al85Ho15,0
622,Al84Ho16,0
623,Al83Ho17,0
624,Al82Ho18,0
625,Al81Ho19,0
626,Al80Ho20,0
627,Al79Ho21,0
628,Al78Ho22,0
629,Al77Ho23,0
630,Al76Ho24,0
631,Al75Ho25,0
632,Al74Ho26,0
633,Al73Ho27,0
634,Al72Ho28,0
635,Al71Ho29,0
636,Al70Ho30,0
637,Al69Ho31,0
638,Al68Ho32,0
639,Al67Ho33,0
640,Al66Ho34,0
641,Al65Ho35,0
642,Al64Ho36,0
643,Al63Ho37,0
644,Al62Ho38,0
645,Al61Ho39,0
646,Al60Ho40,0
647,Al59Ho41,0
648,Al58Ho42,0
649,Al57Ho43,0
650,Al56Ho44,0
651,Al55Ho45,0
652,Al54Ho46,0
653,Al53Ho47,0
654,Al52Ho48,0
655,Al51Ho49,0
656,Al50Ho50,0
657,Al49Ho51,0
658,Al48Ho52,0
659,Al47Ho53,0
660,Al46Ho54,0
661,Al45Ho55,0
662,Al44Ho56,0
663,Al43Ho57,0
664,Al42Ho58,0
665,Al41Ho59,0
666,Al40Ho60,0
667,Al39Ho61,0
668,Al38Ho62,0
669,Al37Ho63,0
670,Al36Ho64,0
671,Al35Ho65,0
672,Al34Ho66,0
673,Al33Ho67,0
674,Al32Ho68,0
675,Al31Ho69,0
676,Al30Ho70,0
677,Al29Ho71,0
678,Al28Ho72,0
679,Al27Ho73,0
680,Al26Ho74,0
681,Al25Ho75,0
682,Al24Ho76,0
683,Al23Ho77,0
684,Al22Ho78,0
685,Al21Ho79,0
686,Al20Ho80,0
687,Al19Ho81,0
688,Al18Ho82,0
689,Al17Ho83,0
690,Al16Ho84,0
691,Al15Ho85,0
692,Al14Ho86,0
693,Al13Ho87,0
694,Al12Ho88,0
695,Al11Ho89,0
696,Al10Ho90,0
697,Al9Ho91,0
698,Al8Ho92,0
699,Al7Ho93,0
700,Al6Ho94,0
701,Al5Ho95,0
702,Al4Ho96,0
703,Al3Ho97,0
704,Al2Ho98,0
705,Al1Ho99,0
706,Al0Ho100,0
707,Al100La0,0
708,Al99La1,0
709,Al98La2,0
710,Al97La3,0
711,Al96La4,0
712,Al95La5,0
713,Al94La6,0
714,Al93La7,1
715,Al92La8,1
716,Al91La9,1
717,Al90La10,1
718,Al89La11,1
719,Al88La12,1
720,Al87La13,1
721,Al86La14,1
722,Al85La15,0
723,Al84La16,0
724,Al83La17,0
725,Al82La18,0
726,Al81La19,0
727,Al80La20,0
728,Al79La21,0
729,Al78La22,0
730,Al77La23,0
731,Al76La24,0
732,Al75La25,0
733,Al74La26,0
734,Al73La27,0
735,Al72La28,0
736,Al71La29,0
737,Al70La30,0
738,Al69La31,0
739,Al68La32,0
740,Al67La33,0
741,Al66La34,0
742,Al65La35,0
743,Al64La36,0
744,Al63La37,0
745,Al62La38,0
746,Al61La39,0
747,Al60La40,0
748,Al59La41,0
749,Al58La42,0
750,Al57La43,0
751,Al56La44,0
752,Al55La45,0
753,Al54La46,0
754,Al53La47,0
755,Al52La48,0
756,Al51La49,0
757,Al50La50,0
758,Al49La51,0
759,Al48La52,0
760,Al47La53,0
761,Al46La54,0
762,Al45La55,0
763,Al44La56,0
764,Al43La57,0
765,Al42La58,0
766,Al41La59,0
767,Al40La60,0
768,Al39La61,0
769,Al38La62,0
770,Al37La63,0
771,Al36La64,0
772,Al35La65,0
773,Al34La66,0
774,Al33La67,0
775,Al32La68,0
776,Al31La69,0
777,Al30La70,0
778,Al29La71,0
779,Al28La72,0
780,Al27La73,0
781,Al26La74,0
782,Al25La75,0
783,Al24La76,0
784,Al23La77,0
785,Al22La78,0
786,Al21La79,0
787,Al20La80,0
788,Al19La81,0
789,Al18La82,0
790,Al17La83,0
791,Al16La84,0
792,Al15La85,0
793,Al14La86,0
794,Al13La87,0
795,Al12La88,0
796,Al11La89,0
797,Al10La90,0
798,Al9La91,0
799,Al8La92,0
800,Al7La93,0
801,Al6La94,0
802,Al5La95,0
803,Al4La96,0
804,Al3La97,0
805,Al2La98,0
806,Al1La99,0
807,Al0La100,0
808,Al100La0,0
809,Al99La1,0
810,Al98La2,0
811,Al97La3,0
812,Al96La4,0
813,Al95La5,0
814,Al94La6,0
815,Al93La7,0
816,Al92La8,0
817,Al91La9,0
818,Al90La10,0
819,Al89La11,0
820,Al88La12,0
821,Al87La13,0
822,Al86La14,0
823,Al85La15,0
824,Al84La16,0
825,Al83La17,0
826,Al82La18,0
827,Al81La19,0
828,Al80La20,0
829,Al79La21,0
830,Al78La22,0
831,Al77La23,0
832,Al76La24,0
833,Al75La25,0
834,Al74La26,0
835,Al73La27,0
836,Al72La28,0
837,Al71La29,0
838,Al70La30,0
839,Al69La31,0
840,Al68La32,0
841,Al67La33,0
842,Al66La34,0
843,Al65La35,0
844,Al64La36,0
845,Al63La37,0
846,Al62La38,0
847,Al61La39,0
848,Al60La40,0
849,Al59La41,0
850,Al58La42,0
851,Al57La43,0
852,Al56La44,0
853,Al55La45,1
854,Al54La46,1
855,Al53La47,1
856,Al52La48,1
857,Al51La49,1
858,Al50La50,1
859,Al49La51,1
860,Al48La52,1
861,Al47La53,1
862,Al46La54,1
863,Al45La55,1
864,Al44La56,1
865,Al43La57,1
866,Al42La58,1
867,Al41La59,1
868,Al40La60,1
869,Al39La61,1
870,Al38La62,1
871,Al37La63,1
872,Al36La64,1
873,Al35La65,1
874,Al34La66,1
875,Al33La67,1
876,Al32La68,1
877,Al31La69,1
878,Al30La70,1
879,Al29La71,1
880,Al28La72,1
881,Al27La73,1
882,Al26La74,1
883,Al25La75,1
884,Al24La76,1
885,Al23La77,1
886,Al22La78,1
887,Al21La79,1
888,Al20La80,1
889,Al19La81,1
890,Al18La82,1
891,Al17La83,1
892,Al16La84,1
893,Al15La85,1
894,Al14La86,1
895,Al13La87,1
896,Al12La88,0
897,Al11La89,0
898,Al10La90,0
899,Al9La91,0
900,Al8La92,0
901,Al7La93,0
902,Al6La94,0
903,Al5La95,0
904,Al4La96,0
905,Al3La97,0
906,Al2La98,0
907,Al1La99,0
908,Al0La100,0
909,Al100Mn0,0
910,Al99Mn1,0
911,Al98Mn2,0
912,Al97Mn3,0
913,Al96Mn4,0
914,Al95Mn5,0
915,Al94Mn6,0
916,Al93Mn7,0
917,Al92Mn8,0
918,Al91Mn9,0
919,Al90Mn10,0
920,Al89Mn11,0
921,Al88Mn12,0
922,Al87Mn13,0
923,Al86Mn14,0
924,Al85Mn15,1
925,Al84Mn16,1
926,Al83Mn17,1
927,Al82Mn18,1
928,Al81Mn19,1
929,Al80Mn20,1
930,Al79Mn21,1
931,Al78Mn22,1
932,Al77Mn23,1
933,Al76Mn24,1
934,Al75Mn25,1
935,Al74Mn26,0
936,Al73Mn27,0
937,Al72Mn28,0
938,Al71Mn29,0
939,Al70Mn30,0
940,Al69Mn31,0
941,Al68Mn32,0
942,Al67Mn33,0
943,Al66Mn34,0
944,Al65Mn35,0
945,Al64Mn36,0
946,Al63Mn37,0
947,Al62Mn38,0
948,Al61Mn39,0
949,Al60Mn40,0
950,Al59Mn41,0
951,Al58Mn42,0
952,Al57Mn43,0
953,Al56Mn44,0
954,Al55Mn45,0
955,Al54Mn46,0
956,Al53Mn47,0
957,Al52Mn48,0
958,Al51Mn49,0
959,Al50Mn50,0
960,Al49Mn51,0
961,Al48Mn52,0
962,Al47Mn53,0
963,Al46Mn54,0
964,Al45Mn55,0
965,Al44Mn56,0
966,Al43Mn57,0
967,Al42Mn58,0
968,Al41Mn59,0
969,Al40Mn60,0
970,Al39Mn61,0
971,Al38Mn62,0
972,Al37Mn63,0
973,Al36Mn64,0
974,Al35Mn65,0
975,Al34Mn66,0
976,Al33Mn67,0
977,Al32Mn68,0
978,Al31Mn69,0
979,Al30Mn70,0
980,Al29Mn71,0
981,Al28Mn72,0
982,Al27Mn73,0
983,Al26Mn74,0
984,Al25Mn75,0
985,Al24Mn76,0
986,Al23Mn77,0
987,Al22Mn78,0
988,Al21Mn79,0
989,Al20Mn80,0
990,Al19Mn81,0
991,Al18Mn82,0
992,Al17Mn83,0
993,Al16Mn84,0
994,Al15Mn85,0
995,Al14Mn86,0
996,Al13Mn87,0
997,Al12Mn88,0
998,Al11Mn89,0
999,Al10Mn90,0
1000,Al9Mn91,0
1001,Al8Mn92,0
1002,Al7Mn93,0
1003,Al6Mn94,0
1004,Al5Mn95,0
1005,Al4Mn96,0
1006,Al3Mn97,0
1007,Al2Mn98,0
1008,Al1Mn99,0
1009,Al0Mn100,0
1010,Al100Nd0,0
1011,Al99Nd1,0
1012,Al98Nd2,0
1013,Al97Nd3,0
1014,Al96Nd4,0
1015,Al95Nd5,0
1016,Al94Nd6,0
1017,Al93Nd7,0
1018,Al92Nd8,1
1019,Al91Nd9,1
1020,Al90Nd10,1
1021,Al89Nd11,1
1022,Al88Nd12,1
1023,Al87Nd13,1
1024,Al86Nd14,1
1025,Al85Nd15,0
1026,Al84Nd16,0
1027,Al83Nd17,0
1028,Al82Nd18,0
1029,Al81Nd19,0
1030,Al80Nd20,0
1031,Al79Nd21,0
1032,Al78Nd22,0
1033,Al77Nd23,0
1034,Al76Nd24,0
1035,Al75Nd25,0
1036,Al74Nd26,0
1037,Al73Nd27,0
1038,Al72Nd28,0
1039,Al71Nd29,0
1040,Al70Nd30,0
1041,Al69Nd31,0
1042,Al68Nd32,0
1043,Al67Nd33,0
1044,Al66Nd34,0
1045,Al65Nd35,0
1046,Al64Nd36,0
1047,Al63Nd37,0
1048,Al62Nd38,0
1049,Al61Nd39,0
1050,Al60Nd40,0
1051,Al59Nd41,0
1052,Al58Nd42,0
1053,Al57Nd43,0
1054,Al56Nd44,0
1055,Al55Nd45,0
1056,Al54Nd46,0
1057,Al53Nd47,0
1058,Al52Nd48,0
1059,Al51Nd49,0
1060,Al50Nd50,0
1061,Al49Nd51,0
1062,Al48Nd52,0
1063,Al47Nd53,0
1064,Al46Nd54,0
1065,Al45Nd55,0
1066,Al44Nd56,0
1067,Al43Nd57,0
1068,Al42Nd58,0
1069,Al41Nd59,0
1070,Al40Nd60,0
1071,Al39Nd61,0
1072,Al38Nd62,0
1073,Al37Nd63,0
1074,Al36Nd64,0
1075,Al35Nd65,0
1076,Al34Nd66,0
1077,Al33Nd67,0
1078,Al32Nd68,0
1079,Al31Nd69,0
1080,Al30Nd70,0
1081,Al29Nd71,0
1082,Al28Nd72,0
1083,Al27Nd73,0
1084,Al26Nd74,0
1085,Al25Nd75,0
1086,Al24Nd76,0
1087,Al23Nd77,0
1088,Al22Nd78,0
1089,Al21Nd79,0
1090,Al20Nd80,0
1091,Al19Nd81,0
1092,Al18Nd82,0
1093,Al17Nd83,0
1094,Al16Nd84,0
1095,Al15Nd85,0
1096,Al14Nd86,0
1097,Al13Nd87,0
1098,Al12Nd88,0
1099,Al11Nd89,0
1100,Al10Nd90,0
1101,Al9Nd91,0
1102,Al8Nd92,0
1103,Al7Nd93,0
1104,Al6Nd94,0
1105,Al5Nd95,0
1106,Al4Nd96,0
1107,Al3Nd97,0
1108,Al2Nd98,0
1109,Al1Nd99,0
1110,Al0Nd100,0
1111,Al100Pr0,0
1112,Al99Pr1,0
1113,Al98Pr2,0
1114,Al97Pr3,0
1115,Al96Pr4,0
1116,Al95Pr5,0
1117,Al94Pr6,0
1118,Al93Pr7,0
1119,Al92Pr8,0
1120,Al91Pr9,1
1121,Al90Pr10,1
1122,Al89Pr11,1
1123,Al88Pr12,0
1124,Al87Pr13,0
1125,Al86Pr14,0
1126,Al85Pr15,0
1127,Al84Pr16,0
1128,Al83Pr17,0
1129,Al82Pr18,0
1130,Al81Pr19,0
1131,Al80Pr20,0
1132,Al79Pr21,0
1133,Al78Pr22,0
1134,Al77Pr23,0
1135,Al76Pr24,0
1136,Al75Pr25,0
1137,Al74Pr26,0
1138,Al73Pr27,0
1139,Al72Pr28,0
1140,Al71Pr29,0
1141,Al70Pr30,0
1142,Al69Pr31,0
1143,Al68Pr32,0
1144,Al67Pr33,0
1145,Al66Pr34,0
1146,Al65Pr35,0
1147,Al64Pr36,0
1148,Al63Pr37,0
1149,Al62Pr38,0
1150,Al61Pr39,0
1151,Al60Pr40,0
1152,Al59Pr41,0
1153,Al58Pr42,0
1154,Al57Pr43,0
1155,Al56Pr44,0
1156,Al55Pr45,0
1157,Al54Pr46,0
1158,Al53Pr47,0
1159,Al52Pr48,0
1160,Al51Pr49,0
1161,Al50Pr50,0
1162,Al49Pr51,0
1163,Al48Pr52,0
1164,Al47Pr53,0
1165,Al46Pr54,0
1166,Al45Pr55,0
1167,Al44Pr56,0
1168,Al43Pr57,0
1169,Al42Pr58,0
1170,Al41Pr59,0
1171,Al40Pr60,0
1172,Al39Pr61,0
1173,Al38Pr62,0
1174,Al37Pr63,0
1175,Al36Pr64,0
1176,Al35Pr65,0
1177,Al34Pr66,0
1178,Al33Pr67,0
1179,Al32Pr68,0
1180,Al31Pr69,0
1181,Al30Pr70,0
1182,Al29Pr71,0
1183,Al28Pr72,0
1184,Al27Pr73,0
1185,Al26Pr74,0
1186,Al25Pr75,0
1187,Al24Pr76,0
1188,Al23Pr77,0
1189,Al22Pr78,0
1190,Al21Pr79,0
