,composition,is_metal
231,Ba2GaAsSe5,False
232,Ba2GaBiS5,False
233,Ba2GaBiSe5,False
234,Ba2GaBiTe5,False
235,Ba2GaS4,False
236,Ba2GaSbSe5,False
237,Ba2GaSbTe5,False
238,Ba2GaSe4,False
239,Ba2GdGaSe5,False
240,Ba2GdGaTe5,False
241,Ba2GdInSe5,False
242,Ba2GdInTe5,False
243,Ba2HgS5,False
244,Ba2In2S5,False
245,Ba2In2Se5,False
246,Ba2InAgS4,False
247,Ba2InBiS5,False
248,Ba2InSbSe5,False
249,Ba2LaIrO6,True
250,Ba2LiFe2N3,True
251,Ba2NaCu3S5,False
252,Ba2NdGaS5,False
253,Ba2NdGaSe5,False
254,Ba2NdInSe5,False
255,Ba2NdInTe5,False
256,Ba2ReNiO6,True
257,Ba2Sb7HO14,False
258,Ba2ScIrO6,True
259,Ba2ScTaO6,False
260,Ba2SmCu3O7,True
261,Ba2SmGaSe5,False
262,Ba2SmGaTe5,False
263,Ba2SmInSe5,False
264,Ba2SmInTe5,False
265,Ba2SmTaO6,False
266,Ba2SnSe4,False
267,Ba2SnSe5,False
268,Ba2TaInO6,False
269,Ba2TbIrO6,True
270,Ba2ThCu2Se5,False
271,Ba2UCuO6,True
272,Ba2V2Te2O11,False
273,Ba2V2ZnO8,False
274,Ba2V4(TeO6)3,False
275,Ba2YGaSe5,False
276,Ba2YGaTe5,False
277,Ba2YInSe5,False
278,Ba2YInTe5,False
279,Ba2YReO6,True
280,Ba2Yb(CuO2)4,True
281,Ba2Zn0.2B2S5.2,False
282,Ba2ZnSe3,False
283,Ba2ZnTe3,False
284,Ba3(AlGe)2,True
285,Ba3(LiSn2)4,True
286,Ba3Ag2(SnS4)2,False
287,Ba3B1.5Sb0.5S6,False
288,Ba3BSbS6,False
289,Ba3BSbSe6,False
290,Ba3Bi0.5B1.5S6,False
291,Ba3Bi2TeO9,False
292,Ba3CaIr2O9,True
293,Ba3CaRu2O9,True
294,Ba3Cd(SnS4)2,False
295,Ba3Co10O17,True
296,Ba3CrS5,True
297,Ba3Dy2(PS4)4,False
298,Ba3Er2(PS4)4,False
299,Ba3ErRu2O9,True
300,Ba3Eu(PO4)3,False
301,Ba3FeS4Br,False
302,Ba3Gd2(PS4)4,False
303,Ba3GeS5,False
304,Ba3Ho2(PS4)4,False
305,Ba3In2(PO4)4,False
306,Ba3InS4Cl,False
307,Ba3La3(Cu3O7)2,False
308,Ba3MgTa2O9,False
309,Ba3N2,True
310,Ba3NaIr2O9,True
311,Ba3NaIrO6,True
312,Ba3Nb2CoO9,True
313,Ba3Nb2Se9,False
314,Ba3P3ClO10,False
315,Ba3PN,True
316,Ba3Sb2S7,False
317,Ba3Sn(SbSe4)2,False
318,Ba3Sn0.87Bi2.13Se8,False
319,Ba3Ta2Se9,False
320,Ba3Ta2ZnO9,False
321,Ba3Ta5NO14,False
322,Ba3Tb2(PS4)4,False
323,Ba3Te,True
324,Ba3ThSe7,False
325,Ba3V2(SeO4)4,False
326,Ba3YIr2O9,True
327,Ba3Yb4O9,True
328,Ba3ZrRu2O9,True
329,Ba4B11O20F,False
330,Ba4Ga4GeSe12,False
331,Ba4Ga4SnSe12,False
332,Ba4Ga5AgS12,False
333,Ba4Ga5CuS12,False
334,Ba4Ga5CuSe12,False
335,Ba4Ga5Si18,False
336,Ba4Ge3S9Cl2,False
337,Ba4Ge3Se9Cl2,False
338,Ba4InAgSe6,False
339,Ba4InCuSe6,False
340,Ba4LiGa5Se12,False
341,Ba4Nb14O23,True
342,Ba4Sb3S8Cl,False
343,Ba4Si20Au3,True
344,Ba4Si3Se9Cl2,False
345,Ba4Sm2Cu2O9,True
346,Ba4Yb(CuO3)3,True
347,Ba5(Ga2Se5)2,False
348,Ba5(GaSe4)2,False
349,Ba5Al2Ge7,True
350,Ba5Bi3,True
351,Ba5Cd(Ga2Se5)3,False
352,Ba5Ga6GeP12,False
353,Ba5Ga6SnP12,False
354,Ba5Ge3,True
355,Ba5In4Bi5,True
356,Ba5In4Te4S7,False
357,Ba5Sb3,True
358,Ba5V3O12F,False
359,Ba6Ag2.7Sn4.3S16,False
360,Ba6Al4B14O33,False
361,Ba6Ga2SnSe11,False
362,Ba6In2NF,True
363,Ba6Sn6Se13,False
364,Ba7(SnS3)5,False
365,Ba7B3O9F5,False
366,Ba7Ga5AgS15,False
367,Ba7Ru4Br2O15,True
368,Ba8Al10B12O41,False
369,Ba8Hg4Se7S5,False
370,Ba8Sn4S15,False
371,Ba8Ta7O24,True
372,BaAg,True
373,BaAg2,True
374,BaAgSbS3,False
375,BaAl2,True
376,BaAl4Se7,False
377,BaAlCu4O7,True
378,BaAu(IO3)5,False
379,BaAu2,True
380,BaB6,False
381,BaBClF4,False
382,BaBSbS4,False
383,BaBiClO2,False
384,BaCaB2O5,False
385,BaCaSn3,True
386,BaCdSnS4,False
387,BaCu2SnSe4,False
388,BaCuSbS3,False
389,BaCuSbSe3,False
390,BaCuTeF,False
391,BaDy2CuO5,True
392,BaEu2Mn2O7,True
393,BaF2,False
394,BaGa2GeS6,False
395,BaGa2GeSe6,False
396,BaGa2SiS6,False
397,BaGa2SiSe6,False
398,BaGa2SnSe6,False
399,BaGa4S7,False
400,BaGa4Se7,False
401,BaGe2,False
402,BaGe3Pt,True
403,BaGe4(IrS3)2,False
404,BaGe4(IrSe3)2,False
405,BaGe4(RhSe3)2,False
406,BaHgS2,False
407,BaHgSe2,False
408,BaIn2(P2O7)2,False
409,BaIn2Ir,True
410,BaLa2CoS5,True
411,BaLa2In2S7,False
412,BaLa2In2Se7,False
413,BaLa2Te5O14,False
414,BaLi4,True
415,BaMn4O7,True
416,BaMn4ZnO8,True
417,BaMnO3,True
418,BaNa2GeS4,False
419,BaNa2GeSe4,False
420,BaNa2SnS4,False
421,BaNa2SnSe4,False
422,BaNaB5O9,False
423,BaNb4O6,True
424,BaO,False
425,BaPd(IO3)4,False
426,BaPdSe6,False
427,BaPrO3,False
428,BaPt5,True
429,BaReH9,False
430,BaS,False
431,BaSe,False
432,BaSi,True
433,BaSi2,False
434,BaSn2S5,False
435,BaSn3,True
436,BaSnO3,False
437,BaTaNO2,False
438,BaTbMn2O6,True
439,BaTe,False
440,BaTeMo2O9,False
441,BaTh3,True
442,BaTi14O28,True
443,BaTi4O7,True
444,BaTi4O8,True
445,BaTiO3,False
446,BaTl(MoO3)2,True
447,BaTl3,True
448,BaUSe3,False
449,BaV2SeO8,False
450,BaYb2O4,True
451,BaYbSn3,True
452,BaZn(MoO2)4,True
453,BaZn5,True
454,BaZnGeSe4,False
455,BaZnSO,False
456,BaZnSiSe4,False
457,Be12Pt,True
458,Be22Re,True
459,Be2HgTe,True
460,Be2W,True
461,Be3N2,False
462,Be3Sb2,False
463,BeAlB,True
464,BeCu,True
465,BeFe2Si,True
466,BeGaO3,True
467,BeGaRh2,True
468,BeO,False
469,BePd2,True
470,BePd3,True
471,BeS,False
472,BeSe,False
473,BeSiOs2,True
474,BeSiRu2,True
475,BeTcSe,True
476,BeTe,False
477,Bi0.002Te0.003Pb0.999Se0.999,False
478,Bi0.04Te0.06Pb0.98Se0.98,False
479,Bi0.2Sb1.8Te3,False
480,Bi0.2Te0.3Pb0.9Se0.9,False
481,Bi0.4Sb1.6Te3,False
482,Bi0.4Te0.6Pb0.8Se0.8,False
483,Bi0.6Sb1.4Te3,False
484,Bi1.4Sb0.6Te3,False
485,Bi1.6Sb0.4Te3,False
486,Bi1.8Sb0.2Te3,False
487,Bi1.98Sb0.02Te3,False
488,Bi12PO20,False
489,Bi12Rh12O41,True
490,Bi1Sb0.15,False
491,Bi2(BO3)3,True
492,Bi2(MoO4)3,False
493,Bi2(PO4)3,True
494,Bi24BO39,False
495,Bi2AsClO4,False
496,Bi2CO5,False
497,Bi2I4O13,False
498,Bi2Mo2Se2O13,False
499,Bi2O3,False
500,Bi2O5,True
501,Bi2Pd3S2,True
502,Bi2Pt,True
503,Bi2S3,False
504,Bi2SI2O11,False
505,Bi2Se3,False
506,Bi2SeI2O11,False
507,Bi2Te0.03Se2.97,False
508,Bi2Te0.1Se2.9,False
509,Bi2Te0.3Se2.7,False
510,Bi2Te0.45Se2.55,False
511,Bi2Te0.4Se2.6,False
512,Bi2Te0.6Se2.4,False
513,Bi2Te0.9Se2.1,False
514,Bi2Te1.2Se1.8,False
515,Bi2Te1.5Se1.5,False
516,Bi2Te2.1Se0.9,False
517,Bi2Te2.4Se0.6,False
518,Bi2Te2.7Se0.3,False
519,Bi2Te2.97Se0.03,False
520,Bi2Te2SO10,False
521,Bi2Te2Se,False
522,Bi2Te3,False
523,Bi3BTeO9,False
524,Bi3I4O13F3,False
525,Bi3Se2NO11,False
526,Bi4I,True
527,Bi4Pb7Se13,False
528,Bi4Pd(SeO3)4,False
529,Bi5IO7,False
530,Bi7O5F11,False
531,Bi8Te7S5,False
532,Bi9S6O7.5,False
533,BiAs2Os,True
534,BiBPbO4,False
535,BiBr3,False
536,BiBrO,False
537,BiClO,False
538,BiI3,False
539,BiIO,False
540,BiIO3F2,False
541,BiO,True
542,BiP3(PbO4)3,False
543,BiPO4,False
544,BiPb2S2I3,False
545,BiPbBrO2,False
546,BiPbClO2,False
547,BiPd,True
548,BiSBr,False
549,BiSCl,False
550,BiSI,False
551,BiSbTe3,False
552,BiSe,False
553,BiSeBr,False
554,BiSeI,False
555,BiSeO3F,False
556,BiTeI,False
557,BiTeNO6,False
558,CBr4,False
559,CI4,False
560,Ca(AgGe)2,True
561,Ca(Al4Co)2,True
562,Ca(AlZn)2,True
563,Ca(BC)2,True
564,Ca(BIr)2,True
565,Ca(BiO2)2,False
566,Ca(CoGe)2,True
567,Ca(CoS2)4,True
568,Ca(GdS2)2,False
569,Ca(GeRh)2,True
570,Ca(LaS2)2,False
571,Ca(MnAs)2,True
572,Ca(NdS2)2,False
573,Ca(Ni2O3)2,True
574,Ca(PrS2)2,False
575,Ca(SiPd)2,True
576,Ca(SmS2)2,False
577,Ca(TiS2)4,True
578,Ca10Ge16(B2O17)3,False
579,Ca11Bi10,True
580,Ca11Ga7,True
581,Ca2Bi2O5,False
582,Ca2CdAs2,False
583,Ca2CdPb,True
584,Ca2Co9O13,True
585,Ca2CuWO6,True
586,Ca2Ge,False
587,Ca2GeN2,True
588,Ca2Mn9O13,True
589,Ca2MnAlO5,True
590,Ca2NiIrO6,True
591,Ca2Os2O7,True
592,Ca2PbAu2,True
593,Ca2ScSbO6,False
594,Ca2Si,False
595,Ca2SmTaO6,False
596,Ca2Sn,False
597,Ca2Sn2F3,True
598,Ca2SnS4,False
599,Ca2Ti9O13,True
600,Ca2TlCd,True
601,Ca2ZnRh,True
602,Ca3(BN2)2,False
603,Ca3(GaPt)2,True
604,Ca3Al2Ge3,True
605,Ca3Au,True
606,Ca3Au4,True
607,Ca3Bi(PO4)3,False
608,Ca3BiAs,True
609,Ca3BiSb,True
610,Ca3Cu2(ClO2)2,True
611,Ca3In,True
612,Ca3La2(SnS4)3,False
613,Ca3N2,False
614,Ca3PbN,True
615,Ca3Sb2,False
616,Ca3SbN,True
617,Ca3Sn2S7,True
618,Ca3Ti2(SiO4)3,False
619,Ca3TlN,True
620,Ca3Zr17O37,True
621,Ca4Al3O10,True
622,Ca4Bi6O13,False
623,Ca5(Bi7O13)2,False
624,Ca5Au2,True
625,Ca5B3O9F,False
626,Ca5Ir,True
627,Ca5Sb3,True
628,Ca5Sn4S13,True
629,Ca6Ag16N,True
630,Ca6Cu2Sn7,True
631,CaAgF5,True
632,CaAu5,True
633,CaB6,False
634,CaCdPd2,True
635,CaCdSi,True
636,CaCu5,True
637,CaEu2O3,True
638,CaEuO2,True
639,CaF2,False
640,CaGa3Ni2,True
641,CaGaAu3,True
642,CaGaGe,True
643,CaGe2,True
644,CaHfZn,True
645,CaHg2,True
646,CaI2,False
647,CaIn2Ir,True
648,CaIn4Ir,True
649,CaInAu,True
650,CaInPt,True
651,CaIrO3,True
652,CaMg2N2,False
653,CaMgSn,True
654,CaMnSn,True
655,CaNi5,True
656,CaO,False
657,CaOsO3,True
658,CaPb,True
659,CaPd3C,True
660,CaPrZn2,True
661,CaS,False
662,CaSe,False
663,CaSnO3,False
664,CaTaNO2,False
665,CaTe,False
666,CaTi4O8,True
667,CaTiO2,True
668,CaVO2,True
669,CaYbInSe4,True
670,CaZn2,True
671,CaZn3,True
672,CaZn3Ni2,True
673,CaZn5,True
674,CaZnSO,False
675,Cd(GaS2)2,False
676,Cd(GaSe2)2,False
677,Cd(In15Te23)2,False
678,Cd(InS2)2,False
679,Cd(InSe2)2,False
680,Cd(InTe2)2,False
681,Cd(PS2)2,False
682,Cd0.01Ga0.99Sb0.99Te0.01,False
683,Cd0.01Hg0.99Se1,False
684,Cd0.01In0.99Te0.01As0.99,False
685,Cd0.02In0.98Te0.02As0.98,False
686,Cd0.03In0.97Te0.03As0.97,False
687,Cd0.04In0.96Te0.04As0.96,False
688,Cd0.05Ga0.95Sb0.95Te0.05,False
689,Cd0.05In0.95Te0.05As0.95,False
690,Cd0.06In0.94Te0.06As0.94,False
691,Cd0.07In0.93Te0.07As0.93,False
692,Cd0.1Ga0.9Sb0.9Te0.1,False
693,Cd0.1Hg0.9Se1,False
694,Cd0.1In0.9Te0.1As0.9,False
695,Cd0.204Hg0.796Te1,False
696,Cd0.23Hg0.77Te1,False
697,Cd0.28Hg0.72Te1,False
698,Cd0.2Ga0.8Sb0.8Te0.2,False
699,Cd0.2Hg0.8Se1,False
700,Cd0.2In2.4Ag0.4Te4,False
701,Cd0.35Hg0.65Te1,False
702,Cd0.37Hg0.63Te1,False
703,Cd0.3Hg0.7Se1,False
704,Cd0.3Hg0.7Te1,False
705,Cd0.4Hg0.6Se1,False
706,Cd0.5Hg0.5Se1,False
707,Cd0.5In2.25Ag0.25Te4,False
708,Cd0.5In2.2Ag0.4Te4,False
709,Cd0.6Hg0.4Se1,False
710,Cd0.75In2.1Ag0.2Te4,False
711,Cd0.7Hg0.3Se1,False
712,Cd0.8Hg0.2Se1,False
713,Cd0.8In2.1Ag0.1Te4,False
714,Cd0.99Ga0.01Sb0.01Te0.99,False
715,Cd0.99Hg0.01Se1,False
716,Cd0.9Hg0.1Se1,False
717,Cd12Ge17(B4O29)2,False
718,Cd13I28,True
719,Cd1Hg6.5As4Cl6,False
720,Cd1Se0.01S0.99,False
721,Cd1Se0.2S0.8,False
722,Cd1Se0.35S0.65,False
723,Cd1Se0.45S0.55,False
724,Cd1Se0.65S0.35,False
725,Cd1Se0.99S0.01,False
726,Cd2AgRh,True
727,Cd2InAgTe3,False
728,Cd2InCuTe3,False
729,Cd2InCuTe4,False
730,Cd2PbO4,True
731,Cd3AgPS6,False
732,Cd3As2,False
733,Cd3Bi(PO4)3,False
734,Cd3Bi2,False
735,Cd3In2(Te2S)2,False
736,Cd3P2,False
737,Cd3Sb2,False
738,Cd3Te2MoO10,False
739,Cd4As2Br3,False
740,Cd4As2I3,False
741,Cd4P2Br3,False
742,Cd4P2Cl3,False
743,Cd4P2I3,False
744,Cd4Sb2I3,False
745,Cd4Sb3,False
746,Cd5Ga2(Te3S)2,False
747,Cd6P7,False
748,Cd8B5O15F,False
749,CdAg,True
750,CdAg2(PS3)2,False
751,CdAg2GeS4,False
752,CdAs2,False
753,CdAsPd5,True
754,CdAuO2,True
755,CdBiClO2,False
756,CdBr2,False
757,CdCl2,False
758,CdCu(SeO3)2,False
759,CdCu2GeS4,False
760,CdCu2GeSe4,False
761,CdCu2SnS4,False
762,CdCu2SnSe4,False
763,CdF2,False
764,CdGeAs2,False
765,CdGeP2,False
766,CdHIO4,False
767,CdHg4(AsI2)2,False
768,CdHg6(As2Br3)2,False
769,CdI2,False
770,CdIClO3,False
771,CdIn,False
772,CdIn8Te13,False
773,CdInCuSe3,False
774,CdO,False
775,CdP2,False
776,CdP4,False
777,CdP4PbO12,False
778,CdPd,True
779,CdPt,True
780,CdRhF6,True
781,CdS,False
782,CdSb,False
783,CdSb2Se3Br2,False
784,CdSb4MoO10,False
785,CdSe,False
786,CdSiAs2,False
787,CdSiP2,False
788,CdSnAs2,False
789,CdSnO3,False
790,CdSnP2,False
791,CdTe,False
792,CdTeO3,False
793,Ce(AlZn)2,True
794,Ce(BC)2,True
795,Ce(CoAs)2,True
796,Ce(CoB)4,True
797,Ce(CuSb)2,True
798,Ce(HO)3,True
799,Ce(InS2)3,False
800,Ce(MnGe)2,True
801,Ce(MnSi)2,True
802,Ce(PPt2)2,True
803,Ce(SiAu)2,True
804,Ce(SiNi)2,True
805,Ce(SiPd)2,True
806,Ce1.3Lu0.7S3,False
807,Ce10Se14O,False
808,Ce15B8N25,False
809,Ce1Mn0.5Se1O1,False
810,Ce2(SbPd3)3,True
811,Ce2(SnSe3)3,False
812,Ce2Al2Co15,True
813,Ce2Co5B2,True
814,Ce2CrN3,True
815,Ce2Cu(NO)2,True
816,Ce2Fe(SeO)2,False
817,Ce2Fe17,True
818,Ce2Ge2Se7,False
819,Ce2GeSe5,False
820,Ce2S2O,True
821,Ce2S3,False
822,Ce2Sb,True
823,Ce2Se3,False
824,Ce2SiSeO4,True
825,Ce2Te3,False
826,Ce2Ti2O7,True
827,Ce2ZnNi2,True
828,Ce3(Al3Ru)4,True
829,Ce3Al,True
830,Ce3AlC,True
831,Ce3B2(ClO2)3,True
832,Ce3In3Ru2,True
833,Ce3LuSe6,False
834,Ce3MnAlS7,True
835,Ce3MoO7,False
836,Ce3NbS3O4,True
837,Ce3Pd5,True
838,Ce3SiPt5,True
839,Ce3Ta(ClO2)3,True
840,Ce3TaO7,True
841,Ce4(GeS4)3,False
842,Ce4Bi3,True
843,Ce4FeSe6O,True
844,Ce4InSbSe9,False
845,Ce4Si3Rh4,True
846,Ce4Te7,False
847,Ce5(SiN3)3,True
848,Ce5CuSe8,True
849,Ce5Ge3,True
850,Ce5Si3,True
851,Ce6B2(CBr)3,True
852,Ce8Sb2S15,False
853,Ce8U2O21,True
854,Ce9SmO20,True
855,CeAgSn,True
856,CeAl2Pd5,True
857,CeAl2Pt3,True
858,CeAl3Ni2,True
859,CeAlO3,True
860,CeAlSi2,True
861,CeAsPd,True
862,CeAsSe,True
863,CeB2Ir3,True
864,CeBC,True
865,CeBiW2O9,False
866,CeCd2Ag,True
867,CeCdAu2,True
868,CeCoGeH,True
869,CeF3,False
870,CeGaO3,True
871,CeHSe,True
872,CeHg,True
873,CeInIr,True
874,CeIr5,True
875,CeLu3,True
876,CeMg2Ag,True
877,CeMgAg2,True
878,CeMgNi4,True
879,CeMgPt,True
880,CeMgZn2,True
881,CeMoO4F,False
882,CeN,False
883,CeNbO4,True
884,CeO2,False
885,CeOs2,True
886,CePd5,True
887,CePrO2,True
888,CeRh,True
889,CeSI,True
890,CeSbO3,True
891,CeScO3,False
892,CeSi2Ni,True
893,CeSi2Pt,True
894,CeSiI,True
895,CeSiIr,True
896,CeSiOs,True
897,CeTaN2O,False
898,CeTl2P2S7,False
899,CeTl3,True
900,CeTlZn,True
901,CeZnPO,True
902,Co(PO3)4,True
903,Co(WO4)2,True
904,Co1Te1.88,False
905,Co2B4Mo,True
906,Co2Ge,True
907,Co2O3,True
908,Co2Te3O8,False
909,Co3H,True
910,Co3Se4,True
911,Co3W,True
912,Co5Ge7,True
913,Co5RuO8,True
914,Co7Mo6,True
915,Co7Re17O48,True
916,CoAs3,False
917,CoAsRh,True
918,CoAsS,False
919,CoAsSe,False
920,CoCu2Sn,True
921,CoGe,True
922,CoH2(SN)4,True
923,CoMoP2,True
924,CoN,True
925,CoOF,True
926,CoP2,False
927,CoP3,False
928,CoPS,False
929,CoPbO3,True
930,CoSb2,False
931,CoSb3,False
932,CoSbS,False
933,Cr(FeSe2)2,True
934,Cr(MoS2)2,True
935,Cr10Sb3Te7,True
936,Cr2CuS4,True
937,Cr2CuTe4,True
938,Cr2GeC,True
939,Cr2HO4,True
940,Cr2HgSe4,True
941,Cr2NiS4,True
942,Cr2O3,False
943,Cr2P3O11,True
944,Cr2S3,False
945,Cr2SbTe,True
946,Cr3N2,True
947,Cr3Ni(PO4)6,True
948,Cr3P,True
949,Cr3Se4,False
950,Cr4As3,True
951,Cr4Cu3Te8,True
952,Cr7C3,True
953,CrAs,True
954,CrB2(PbO2)6,False
955,CrBi2I2O11,False
956,CrCo2Bi,True
957,CrCoGe,True
958,CrCoPt2,True
959,CrCu2Si,True
960,CrFe2Sb,True
961,CrFeP,True
962,CrH9(CN2)3,True
963,CrIrO4,True
964,CrIrO6,True
965,CrNi3,True
966,CrNiAs,True
967,CrNiP2O9,True
968,CrO2,False
969,CrO3,False
970,CrPbO4,False
971,CrSb2,False
972,CrSi2,False
973,CrTe2,False
974,Cs(AsRu)2,True
975,Cs(MoO3)3,True
976,Cs0.4K0.6P1Se6,False
977,Cs1.13Cd1.13Bi2.87Se6,False
978,Cs1.43Cd1.43Bi2.57S6,False
979,Cs10Cd4Sn4S17,False
980,Cs2AgBiBr6,False
981,Cs2AgBiCl6,False
982,Cs2Al2B2O7,False
983,Cs2Ba3(P2O7)2,False
984,Cs2Cd(PSe3)2,False
985,Cs2Cd0.25Hg5.75S7,False
986,Cs2Cd1.35Hg4.65S7,False
987,Cs2Cd2Bi2S5,False
988,Cs2Cd3(B4O7)4,False
989,Cs2Cd3Te4,False
990,Cs2CrCl4,True
991,Cs2Cu(PS3)3,False
992,Cs2Cu2Sb2S5,False
993,Cs2DyCu3Te4,False
994,Cs2Ga2S5,False
995,Cs2Ga2Se5,False
996,Cs2Hg(ICl)2,False
997,Cs2Hg3I8,False
998,Cs2Hg3S4,False
999,Cs2Hg6S7,False
1000,Cs2La1.19Bi8.81S16,False
1001,Cs2Li3(BO2)5,False
