,formula,k_expt,k-units,k_condition,k_condition_units
103,Sr0.9La0.1TiO3,5.28,W/m$\cdot$K,400,K
104,Ba7SrAl16Si30,2.33,W/m$\cdot$K,400,K
105,Ca0.9Bi0.1MnO3,3.1467,W/m$\cdot$K,400,K
106,WO2.722,8.177,W/m$\cdot$K,300,K
107,SrTi0.8Nb0.2O3,6.14,W/m$\cdot$K,700,K
108,NaCo2O4,4.7639,W/m$\cdot$K,1000,K
109,Tl9BiTe6,0.48100000000000004,W/m$\cdot$K,300,K
110,Sr0.9Y0.1TiO3,6.0,W/m$\cdot$K,400,K
111,Mo6Te6S2,2.93114,W/m$\cdot$K,700,K
112,Si0.8Ge0.2,2.51953,W/m$\cdot$K,400,K
113,ZrNi1.98Cu0.02Sn,6.795,W/m$\cdot$K,400,K
114,Ca4.95Na0.05Al2Sb6,0.833,W/m$\cdot$K,700,K
115,Si0.7956Ge0.1989P0.0055,3.7233699999999996,W/m$\cdot$K,700,K
116,Cr1.3Mo6S8,3.1915,W/m$\cdot$K,1000,K
117,Tl2SnTe5,5.09,W/m$\cdot$K,300,K
118,NaCo2O4,1.9040000000000001,W/m$\cdot$K,300,K
119,TiNiSn,5.51,W/m$\cdot$K,700,K
120,Ba8Ga16Ge30,1.3,W/m$\cdot$K,700,K
121,Tl2SnTe5,6.75,W/m$\cdot$K,300,K
122,In0.1Co4Sb12,2.18825,W/m$\cdot$K,300,K
123,CaMnO3,3.56184,W/m$\cdot$K,300,K
124,In1.94Ge0.06O3,8.86791,W/m$\cdot$K,300,K
125,Zr0.95Nb0.05NiSn,6.6684,W/m$\cdot$K,700,K
126,CuCr0.95Mg0.05O2,6.9878,W/m$\cdot$K,1000,K
127,Ba0.8Sr0.2PbO3,4.0289,W/m$\cdot$K,700,K
128,Mg2Si0.997Bi0.003,3.53,W/m$\cdot$K,700,K
129,Ca0.9Tb0.1MnO3,1.5871,W/m$\cdot$K,400,K
130,Pb0.97Sr0.02TeNa0.01,2.23,W/m$\cdot$K,400,K
131,NbCo1.10Sn,6.7725800000000005,W/m$\cdot$K,1000,K
132,Mo6Te7S,2.7730099999999998,W/m$\cdot$K,300,K
133,CuCr0.98Mg0.02O2,7.5581,W/m$\cdot$K,300,K
134,Ca3Co4O9,2.8369999999999997,W/m$\cdot$K,1000,K
135,Cu4.0Mo6S8,1.3479,W/m$\cdot$K,300,K
136,CaMn0.96Ru0.04O3,3.2397299999999998,W/m$\cdot$K,700,K
137,CaMnO3,3.06714,W/m$\cdot$K,400,K
138,Ca0.9Tb0.1MnO3,1.75635,W/m$\cdot$K,700,K
139,Zn4Sb3,0.6638,W/m$\cdot$K,400,K
140,Ca2.97Na0.03AlSb3,1.67,W/m$\cdot$K,300,K
141,CuCr0.98Mg0.02O2,6.7086,W/m$\cdot$K,400,K
142,Ca0.7Tb0.3MnO3,1.462482104,W/m$\cdot$K,700,K
143,Zn0.95Al0.05O,20.25,W/m$\cdot$K,400,K
144,Ba0.4Sr0.6PbO3,1.9826599999999999,W/m$\cdot$K,700,K
145,Fe1.3Mo6S8,1.4885,W/m$\cdot$K,300,K
146,Ca5Al2Sb6,1.54,W/m$\cdot$K,300,K
147,La3Te3.35Bi0.65,1.83,W/m$\cdot$K,400,K
148,In1.9Ge0.1O3,2.51443,W/m$\cdot$K,1000,K
149,K2Bi8Se13,1.2851700000000001,W/m$\cdot$K,300,K
150,Ba8Au5.59Si39.01,2.41,W/m$\cdot$K,700,K
151,Ba8Au6.10Si38.97,2.33,W/m$\cdot$K,400,K
152,Mg2Si,6.15,W/m$\cdot$K,400,K
153,La3Te3.35Sb0.65,1.17,W/m$\cdot$K,700,K
154,NbCo1.05Sn,7.2322,W/m$\cdot$K,700,K
155,WO2.722,6.2948,W/m$\cdot$K,1000,K
156,CaGd0.94Mn0.06O3,1.9451200000000002,W/m$\cdot$K,1000,K
157,Ca0.9Bi0.1MnO3,3.5909,W/m$\cdot$K,300,K
158,SrNd0.24Ti0.76O3,3.76,W/m$\cdot$K,700,K
159,Sr0.9La0.1TiO3,5.88,W/m$\cdot$K,300,K
160,Mn1.3Mo6S8,1.6274,W/m$\cdot$K,400,K
161,In1.998Ge0.002O3,3.92271,W/m$\cdot$K,700,K
162,Ca0.7Y0.3MnO3,1.46749541,W/m$\cdot$K,400,K
163,CaMnO3,2.0467299999999997,W/m$\cdot$K,700,K
164,Ca0.7Ho0.3MnO3,1.416678012,W/m$\cdot$K,700,K
165,Ca0.9Ho0.1MnO3,1.637290898,W/m$\cdot$K,300,K
166,SrDy0.08Ti0.92O3,3.17,W/m$\cdot$K,700,K
167,Ca2.4Na0.3Bi0.3Co4O9,1.75,W/m$\cdot$K,1000,K
168,Ba8Au6.10Si38.97,2.18,W/m$\cdot$K,300,K
169,ZrNi1.98Cu0.02Sn,7.98,W/m$\cdot$K,300,K
170,Ca0.7Ho0.3MnO3,1.599402623,W/m$\cdot$K,1000,K
171,Ti0.95Nb0.05NiSn,6.3783,W/m$\cdot$K,400,K
172,Zr0.99Nb0.01NiSn,6.0517,W/m$\cdot$K,700,K
173,Fe1.94Ti0.06O3,4.34,W/m$\cdot$K,700,K
174,Na0.02Pb0.98Te,2.675,W/m$\cdot$K,400,K
175,Ca0.9Yb0.1MnO3,1.6387099999999999,W/m$\cdot$K,400,K
176,AgCrSe2,0.956,W/m$\cdot$K,300,K
177,Sr0.145Ga0.302Ge0.553,0.81,W/m$\cdot$K,300,K
178,CeFe4Sb12,1.55,W/m$\cdot$K,300,K
179,Bi2Sr2Co2O8,2.1246,W/m$\cdot$K,400,K
180,In1.994Ge0.006O3,7.206919999999999,W/m$\cdot$K,400,K
181,Zn0.95Al0.05O,6.23,W/m$\cdot$K,1000,K
182,Ba8Ga16Ge30,1.79,W/m$\cdot$K,400,K
183,Na0.02Pb0.98Te0.75Se0.25,1.29643,W/m$\cdot$K,700,K
184,NbCo1.05Sn,7.6719,W/m$\cdot$K,1000,K
185,Sn1.2S1.2Ti2S4,2.66,W/m$\cdot$K,300,K
186,In1.985Ge0.015O3,7.04775,W/m$\cdot$K,400,K
187,Zr0.15Hf0.15Ti0.7NiSn,3.072,W/m$\cdot$K,400,K
188,Ca0.7Y0.3MnO3,1.5369205959999999,W/m$\cdot$K,1000,K
189,SrNb0.15Ti0.85O3,4.696000000000001,W/m$\cdot$K,400,K
190,SrTi0.8Nb0.2O3,2.555,W/m$\cdot$K,1000,K
191,Mg2Si0.9985Bi0.0015,7.08,W/m$\cdot$K,300,K
192,CaGd0.96Mn0.04O3,1.78652,W/m$\cdot$K,300,K
193,SrTi0.8Nb0.2O3,8.57,W/m$\cdot$K,400,K
194,Mg2Si0.6Ge0.4Ag0.02,2.57,W/m$\cdot$K,700,K
195,Ba0.3Sr0.6La0.1TiO3,1.91,W/m$\cdot$K,700,K
196,CaMnO3,3.3114,W/m$\cdot$K,700,K
197,CaYb0.1Mn0.9O3,1.61396,W/m$\cdot$K,700,K
198,CaYb0.05Mn0.95O3,1.4902799999999998,W/m$\cdot$K,300,K
199,La0.98Sr0.02CoO3,1.8,W/m$\cdot$K,300,K
200,Ba8Ga16Ge30,1.94,W/m$\cdot$K,300,K
201,Fe0.998Co0.002Si2,5.02,W/m$\cdot$K,1000,K
202,CuCr0.95Mg0.05O2,9.5221,W/m$\cdot$K,300,K
203,Nd2CuO4,3.94,W/m$\cdot$K,1000,K
204,Mg1.95Ca0.05Si,3.8,W/m$\cdot$K,700,K
205,TiNiSn,6.72,W/m$\cdot$K,400,K
206,ZrNi0.76Co0.004Cu0.2Sn,6.02,W/m$\cdot$K,300,K
207,Fe1.96Ti0.04O3,3.54,W/m$\cdot$K,1000,K
208,In1.985Ge0.015O3,4.61902,W/m$\cdot$K,700,K
209,Sr0.9La0.1TiO3,3.15,W/m$\cdot$K,1000,K
210,Zr0.15Hf0.15Ti0.7NiSn,3.157,W/m$\cdot$K,700,K
211,CaGd0.94Mn0.06O3,2.5699,W/m$\cdot$K,400,K
212,Ti0.95Nb0.05NiSn,5.2517,W/m$\cdot$K,700,K
213,CaGd0.96Mn0.04O3,1.28033,W/m$\cdot$K,1000,K
214,Ca3Co4O9,1.8,W/m$\cdot$K,700,K
215,Ca3AlSb3,1.1,W/m$\cdot$K,400,K
216,Fe1.3Mo6S8,3.4165,W/m$\cdot$K,1000,K
217,CeFe3CoSb12,2.07,W/m$\cdot$K,700,K
218,Sr0.9La0.1TiO3,3.83,W/m$\cdot$K,700,K
219,Ca0.9Tb0.1MnO3,1.6040432519999999,W/m$\cdot$K,1000,K
220,Fe1.94Ti0.06O3,5.93,W/m$\cdot$K,400,K
221,La3Te3.35Bi0.65,1.9669999999999999,W/m$\cdot$K,300,K
222,Sn1.2S1.2Ti2S4,2.03,W/m$\cdot$K,400,K
223,Zn4Sb3,0.7829999999999999,W/m$\cdot$K,300,K
224,Pb0.94Sr0.04TeNa0.02,2.13,W/m$\cdot$K,400,K
225,Ca0.9Nd0.1MnO3,2.4130700000000003,W/m$\cdot$K,400,K
226,Ca2.97Na0.03AlSb3,0.84,W/m$\cdot$K,700,K
227,Si0.8Ge0.2,2.5546900000000003,W/m$\cdot$K,1000,K
228,CaYb0.15Mn0.85O3,1.69435,W/m$\cdot$K,1000,K
229,Ca2.4Na0.3Bi0.3Co4O9,1.8,W/m$\cdot$K,700,K
230,Ti0.98Nb0.02NiSn,5.085,W/m$\cdot$K,700,K
231,CaMnO3,3.3060699999999996,W/m$\cdot$K,400,K
232,Zn0.98Al0.02O,12.4,W/m$\cdot$K,700,K
233,Ca0.9Ho0.1MnO3,2.18525,W/m$\cdot$K,700,K
234,Ca2Co2O5,2.3,W/m$\cdot$K,300,K
235,Zr0.95Nb0.05NiSn,6.2417,W/m$\cdot$K,1000,K
236,Ca2.94Na0.06AlSb3,1.65,W/m$\cdot$K,300,K
237,Nd2CuO4,13.7,W/m$\cdot$K,400,K
238,Sr2Ti0.8Nb0.2O4,4.37,W/m$\cdot$K,300,K
239,CaYb0.1Mn0.9O3,1.6386900000000002,W/m$\cdot$K,400,K
240,Zn4Sb3,0.77,W/m$\cdot$K,300,K
241,CeFe3.5Co0.5Sb13,2.38,W/m$\cdot$K,400,K
242,Li0.0242Ni0.9758O,2.5497900000000002,W/m$\cdot$K,1000,K
243,NbCo1.05Sn,6.8867199999999995,W/m$\cdot$K,300,K
244,Cu1.98Se,1.73,W/m$\cdot$K,400,K
245,Ca2.7Bi0.3Co4O9,2.0,W/m$\cdot$K,300,K
246,Zr0.35Hf0.35Ti0.3NiSn,2.8369999999999997,W/m$\cdot$K,400,K
247,Sm0.5Ca0.5MnO3,1.9,W/m$\cdot$K,300,K
248,La0.99Sr0.01CoO3,1.807,W/m$\cdot$K,300,K
249,WO2.722,6.8797,W/m$\cdot$K,700,K
250,In2O3,9.6695,W/m$\cdot$K,300,K
251,Yb14MnSb11,0.816,W/m$\cdot$K,700,K
252,Ca0.9Nd0.1MnO3,2.38232,W/m$\cdot$K,1000,K
253,Ag9TlTe5,0.2,W/m$\cdot$K,700,K
254,Na0.02Pb0.98Te0.85Se0.15,1.26786,W/m$\cdot$K,700,K
255,CaYb0.15Mn0.85O3,1.64488,W/m$\cdot$K,300,K
256,CuCr0.97Mg0.03O2,6.4607,W/m$\cdot$K,400,K
257,In1.8Ge0.2O3,3.23848,W/m$\cdot$K,300,K
258,Mo6Te6S2,2.1249599999999997,W/m$\cdot$K,300,K
259,Ba8Ga16Ge30,1.7,W/m$\cdot$K,300,K
260,In0.2Co4Sb12,1.93658,W/m$\cdot$K,700,K
261,Ca0.7Y0.3MnO3,1.793253904,W/m$\cdot$K,300,K
262,CuCr0.98Mg0.02O2,5.8378,W/m$\cdot$K,700,K
263,Zn0.995Al0.005O,8.25,W/m$\cdot$K,1000,K
264,Ba8Ga18Ge28,1.1,W/m$\cdot$K,700,K
265,Sr0.61Ba0.39Nb2O6,2.0205,W/m$\cdot$K,400,K
266,Li0.0066Ni0.9944O,6.0105,W/m$\cdot$K,700,K
267,Ca0.9Bi0.1MnO3,2.2145,W/m$\cdot$K,700,K
268,Sb2Te3,5.205245902,W/m$\cdot$K,300,K
269,Ca0.98Bi0.02Mn0.98Nb0.02O3,2.51281,W/m$\cdot$K,300,K
270,Ba8Ga16Ge30,1.42,W/m$\cdot$K,400,K
271,Zr0.99Nb0.01NiSn,6.0617,W/m$\cdot$K,1000,K
272,Ti0.98Nb0.02NiSn,7.4261,W/m$\cdot$K,300,K
273,La3Te3.35Bi0.65,1.37,W/m$\cdot$K,1000,K
274,Sr0.9Y0.1TiO3,4.5,W/m$\cdot$K,1000,K
275,In2O3,3.86562,W/m$\cdot$K,700,K
276,Ni2.0Mo6S8,2.3304,W/m$\cdot$K,400,K
277,In0.2Co4Sb12,2.5704700000000003,W/m$\cdot$K,300,K
278,ZrNiSn,8.395,W/m$\cdot$K,400,K
279,Bi2Te3,1.468195804,W/m$\cdot$K,300,K
280,Fe1.3Mo6S8,2.775,W/m$\cdot$K,700,K
281,CaYb0.05Mn0.95O3,1.61396,W/m$\cdot$K,1000,K
282,In1.998Ge0.002O3,9.1565,W/m$\cdot$K,300,K
283,CeFe3CoSb12,1.98,W/m$\cdot$K,400,K
284,ZrNiSn,5.9849,W/m$\cdot$K,700,K
285,Ca0.9Ho0.1MnO3,2.06759,W/m$\cdot$K,400,K
286,Cu1.98Se,1.25,W/m$\cdot$K,300,K
287,Mg1.9Ca0.1Si,5.2,W/m$\cdot$K,300,K
288,Na0.02Pb0.98Te0.85Se0.15,2.21786,W/m$\cdot$K,400,K
289,Zr0.35Hf0.35Ti0.3NiSn,2.9419999999999997,W/m$\cdot$K,700,K
290,Nd2Cu0.98Zn0.02O4,3.63,W/m$\cdot$K,1000,K
291,Ca2.4Na0.3Bi0.3Co4O9,1.9,W/m$\cdot$K,400,K
292,Tl9BiTe6,0.409,W/m$\cdot$K,400,K
293,Ba8Ga18Ge28,1.0,W/m$\cdot$K,1000,K
294,Yb14MnSb11,0.715,W/m$\cdot$K,1000,K
295,CuCr0.99Mg0.01O2,4.9475,W/m$\cdot$K,1000,K
296,Li0.0066Ni0.9944O,5.30518,W/m$\cdot$K,1000,K
297,In2O3,6.773289999999999,W/m$\cdot$K,400,K
298,CaMn0.98Nb0.02O3,1.38075,W/m$\cdot$K,1000,K
299,CaMnO3,2.9729900000000002,W/m$\cdot$K,400,K
300,In1.94Ge0.06O3,6.6037,W/m$\cdot$K,400,K
301,Ca2.7Na0.3Co4O9,2.0,W/m$\cdot$K,700,K
302,Na0.02Pb0.98Te0.75Se0.25,2.15357,W/m$\cdot$K,400,K
303,Mo3Te4,3.91172,W/m$\cdot$K,400,K
304,Mo6Te6S2,3.45435,W/m$\cdot$K,1000,K
305,ZnO,33.22,W/m$\cdot$K,400,K
306,La2.99Te4,2.87,W/m$\cdot$K,1000,K
307,Pb0.98TeNa0.02,4.29,W/m$\cdot$K,300,K
308,CuCrO2,6.1557,W/m$\cdot$K,400,K
309,Sr4.5Nb4.5O15.5,2.45,W/m$\cdot$K,300,K
310,Zn0.95Al0.05O,14.3,W/m$\cdot$K,700,K
311,Bi2Sr2Co2O8,2.0678,W/m$\cdot$K,700,K
312,NbCoSn,6.904439999999999,W/m$\cdot$K,300,K
313,Ca0.7Y0.3MnO3,1.514920146,W/m$\cdot$K,700,K
314,Ba8Au5.59Si39.01,1.62,W/m$\cdot$K,400,K
315,Zr0.5Hf0.5NiSn,4.087,W/m$\cdot$K,300,K
316,Ag9TlTe5,0.2,W/m$\cdot$K,300,K
317,Nd2Cu0.98Ni0.02O4,9.811,W/m$\cdot$K,300,K
318,In0.05Co4Sb12,1.7376200000000002,W/m$\cdot$K,400,K
319,CaMnO3,2.06537,W/m$\cdot$K,1000,K
320,Zn4Sb3,0.6933,W/m$\cdot$K,700,K
321,Sb0.005I0.015Cs0.995Bi3.98Te5.97,1.5,W/m$\cdot$K,300,K
322,LaFe3CoSb12,1.6,W/m$\cdot$K,300,K
323,Sr2Ti0.8Nb0.2O4,2.48,W/m$\cdot$K,700,K
324,In0.25Co4Sb12,2.13453,W/m$\cdot$K,700,K
325,Ca2.94Na0.06AlSb3,1.27,W/m$\cdot$K,400,K
326,Ca0.98Bi0.02Mn0.98Nb0.02O3,1.87848,W/m$\cdot$K,700,K
327,Zr0.15Hf0.15Ti0.7NiSn,3.3939999999999997,W/m$\cdot$K,300,K
328,NaCo2O4,5.7025,W/m$\cdot$K,700,K
329,Li0.0242Ni0.9758O,3.49599,W/m$\cdot$K,700,K
330,Zr0.94Y0.06NiSn0.96Sb0.04,8.35,W/m$\cdot$K,300,K
331,La3Te3.35Sb0.65,0.987,W/m$\cdot$K,1000,K
332,Li0.0024Ni0.9976O,8.44401,W/m$\cdot$K,1000,K
333,Mg2Si,4.5,W/m$\cdot$K,300,K
334,Ba8Au5.14Si39.51,1.86,W/m$\cdot$K,300,K
335,La2.99Te4,2.605,W/m$\cdot$K,400,K
336,Mo3Te4,4.451969999999999,W/m$\cdot$K,700,K
337,ZnO,8.58,W/m$\cdot$K,1000,K
338,Ca0.9Tb0.1MnO3,1.574660559,W/m$\cdot$K,700,K
339,Bi1.2S1.2Ti2S4,2.11,W/m$\cdot$K,700,K
340,Nd2CuO4,29.6,W/m$\cdot$K,300,K
341,CuRh0.9Mg0.1O2,8.391860000000001,W/m$\cdot$K,1000,K
342,ZrNi0.76Co0.004Cu0.2Sn,5.3,W/m$\cdot$K,400,K
343,In0.25Co4Sb12,2.5585299999999997,W/m$\cdot$K,300,K
344,Ba8Ga16Ge30,1.63,W/m$\cdot$K,400,K
345,SrNb0.15Ti0.85O3,5.88,W/m$\cdot$K,300,K
346,Zr0.94Y0.06NiSn0.96Sb0.04,6.51,W/m$\cdot$K,400,K
347,Zn0.99Al0.01O,44.495,W/m$\cdot$K,300,K
348,La0.8Sr0.2CoO3,3.69579,W/m$\cdot$K,300,K
349,SrNd0.17Ti0.83O3,3.397,W/m$\cdot$K,1000,K
350,CuCr0.95Mg0.05O2,8.0871,W/m$\cdot$K,700,K
351,SrNd0.2Ti0.8O3,3.1968,W/m$\cdot$K,1000,K
352,CaMnO3,2.15813,W/m$\cdot$K,700,K
353,Ba8Ga16Ge30,2.0,W/m$\cdot$K,1000,K
354,Na0.02Pb0.98Te0.85Se0.15,3.0142900000000004,W/m$\cdot$K,300,K
355,Mg2Si0.9985Bi0.0015,5.07,W/m$\cdot$K,400,K
356,SrNd0.17Ti0.83O3,5.35,W/m$\cdot$K,400,K
