,composition,crystallinity,synthesis,spacegroup,rho (ohm.cm),S [muV/K],PF [W/mK^2],zT,kappa [W/mK],sigma [S/cm],T [K],src
15,La1.9Sr0.1CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),64.0,0.00608328,40.0,2.6302e-05,,,164.39,700.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
16,LaCoO3,Polycrystalline,Solid state reaction,15.0,0.001358313,28.76,6.0894e-05,,,736.21,700.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
17,CaGd0.98Mn0.02O3,Polycrystalline,Co-precipitation,62.0,0.03054545,-211.97,0.00014709,,,32.738,300.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
18,Pb1.8S1.8Ti2S4,Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,0.000728,-70.8,0.00068855,0.109728996,2.51,1373.6,400.0,http://dx.doi.org/10.3390/ma3042606
19,La2.74Te4,Polycrystalline,"Solid state reaction, Ar",220.0,0.00425,-159.0,0.00059485,0.416392941,1.0,235.29,700.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
20,In0.2Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00149208,-222.15,0.0033074,0.400777807,2.47577,670.21,300.0,http://dx.doi.org/10.1021/cm052055b
21,Ba7SrAl16Si30,Polycrystalline,"Flux (Al), dynamic vacuum",223.0,0.00087797,-53.15,0.00032179,0.091565242,2.46,1139.0,700.0,http://dx.doi.org/10.1016/j.jssc.2011.02.027
22,CuCr0.96Mg0.04O2,Polycrystalline,"Solid state reaction, air",166.0,0.0442664,303.784,0.00020848,0.03041577,6.8542,22.59,1000.0,http://dx.doi.org/10.1109/ICT.2006.331288
23,Tl2GeTe5,Polycrystalline,Melted,65.0,0.02314,285.0,0.00035102,0.011610217,9.07,43.215,300.0,http://dx.doi.org/10.1063/1.124182
24,Zn0.9975Al0.0025O,Polycrystalline,"Microwave solvothermal, air",186.0,0.012271444,-316.0,0.00081373,0.426280342,1.9089,81.49,1000.0,http://dx.doi.org/10.1021/nl202439h
25,Mo3Te4,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000711,4.08735,2.3497e-06,0.000184926,3.81187,1406.5,300.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
26,Ca0.9Sn0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,2.197937455,-283.848,3.6657e-06,,,0.45497,300.0,http://dx.doi.org/10.1006/jssc.1995.1384
27,SrDy0.08Ti0.92O3,Polycrystalline,"Solid state reaction, air",221.0,0.009615385,-49.7,2.5689e-05,0.001837111,4.195,104.0,300.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
28,Ca0.9Ho0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.00949715,-101.47,0.00010841,0.04998035,1.518351106,105.29,700.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
29,Zn0.98Al0.02O,Polycrystalline,"Solid state reaction, air",186.0,0.00128825,-147.654,0.0016924,0.024887514,27.2,704.35,400.0,http://dx.doi.org/10.1039/A602506D
30,CeFe3CoSb12,Polycrystalline,"Melted, vacuum",204.0,0.00230374,176.441,0.0013513,,,434.08,1000.0,http://www.jstor.org/stable/2889796
31,Ni2.0Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000456731,20.8232,9.4937e-05,0.015683881,4.2372,2189.5,700.0,http://dx.doi.org/10.1007/s11664-009-0975-0
32,In1.994Ge0.006O3,Polycrystalline,Solid state reaction,206.0,0.000836795,-50.4768,0.00030448,0.009402057,9.71545,1195.0,300.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
33,Sr3Ti1.6Nb0.4O7,Polycrystalline,"Solid state reaction, Ar",221.0,0.0078125,-158.0,0.00031954,0.149317383,2.14,128.0,1000.0,http://dx.doi.org/10.1063/1.3117943
34,La3Te3.35Bi0.65,Polycrystalline,"Solid state reaction, Ar",220.0,0.00437,-130.6,0.00039031,0.175137182,1.56,228.83,700.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
35,Zn0.9975Al0.0025O,Polycrystalline,"Microwave solvothermal, air",186.0,0.065316786,-268.0,0.00010996,0.033716067,2.283,15.31,700.0,http://dx.doi.org/10.1021/nl202439h
36,Ca3AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.1127,265.4,6.25e-05,0.090317483,0.692,8.8731,1000.0,http://dx.doi.org/10.1039/c0ee00517g
37,CeFe1.5Co2.5Sb12,Polycrystalline,"Melted, vacuum",204.0,0.011935,-35.5636,1.0597e-05,,,83.787,700.0,http://www.jstor.org/stable/2889796
38,La2.99Te4,Polycrystalline,"Solid state reaction, Ar",220.0,0.000802,-57.6,0.00041369,0.101964806,2.84,1246.9,700.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
39,WO2.9,Polycrystalline,Spark plasma sintering,10.0,0.00123823,-28.21,6.4247e-05,0.00625094,3.0834,807.6,300.0,Personal communication
40,SrNd0.2Ti0.8O3,Polycrystalline,"Solid state reaction, air",221.0,0.001838235,-34.4,6.4375e-05,0.003492303,5.53,544.0,300.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
41,La3Te3.8Sb0.2,Polycrystalline,"Solid state reaction, Ar",220.0,0.000589,-46.6,0.00036869,0.057160606,2.58,1697.8,400.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
42,LaNiO3,Polycrystalline,"Evaporate nitrates (1173 K, air)",167.0,0.00284295,-19.88,1.3906e-05,,,351.75,400.0,http://dx.doi.org/10.1557/PROC-793-S3.3
43,Mg2Si0.993Bi0.007,Polycrystalline,"Mechanochemical, Ar",225.0,0.000348,-78.6,0.0017753,0.125019427,5.68,2873.6,400.0,http://dx.doi.org/10.1039/C1JM10827A
44,La0.95Sr0.05CoO3,Polycrystalline,Solid state reaction,15.0,0.000949511,25.04,6.6034e-05,,,1053.2,700.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
45,Sr0.61Ba0.39Nb2O6,Single crystal,"Czochralski method, anneal P(O2) = 10$^{-14}$",100.0,0.014613639,-194.0,0.00025754,0.050985445,2.0205,68.429,400.0,http://dx.doi.org/10.1063/1.3291563
46,Zr0.35Hf0.35Ti0.3NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00841046,-329.724,0.0012927,,,118.9,300.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
47,TiNiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.031417889,-271.305,0.00023428,0.011567378,6.0761,31.829,300.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
48,In1.8Ge0.2O3,Polycrystalline,Solid state reaction,206.0,0.0027953,-64.0245,0.00014664,0.022462541,2.61135,357.74,400.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
49,CaMn6CuO12,Polycrystalline,"Solid state reaction, air",194.0,0.0204067,-30.2012,4.4697e-06,,,49.004,1000.0,http://dx.doi.org/10.1063/1.1687532
50,La0.95Sr0.05CoO3,Polycrystalline,Solid state reaction,15.0,0.007277798,129.0,0.00022865,,,137.4,400.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
51,Fe1.96Ti0.04O3,Polycrystalline,"Solid state reaction, air",2.0,0.376396903,-366.46,3.5679e-05,0.001368757,7.82,26568.0,300.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
52,Mg2Si0.999Bi0.001,Polycrystalline,"Mechanochemical, Ar",225.0,0.003167,-231.0,0.0016849,0.322249944,3.66,315.76,700.0,http://dx.doi.org/10.1039/C1JM10827A
53,Ti0.99Nb0.01NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.001155085,-177.319,0.0027221,0.118473741,6.8928,865.74,300.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
54,Ni2.0Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000468269,33.2249,0.00023574,0.039452953,5.9752,2135.5,1000.0,http://dx.doi.org/10.1007/s11664-009-0975-0
55,Bi2Ru2O7,Polycrystalline,Solid state reaction,227.0,0.00057405,5.38,5.0344e-06,,,1726.8,700.0,http://dx.doi.org/10.1016/S0038-1098(03)00080-2
56,In1.998Ge0.002O3,Polycrystalline,Solid state reaction,206.0,0.0023498,-105.832,0.00047665,0.027820846,6.85319,425.57,400.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
57,Zr0.5Hf0.5NiSn1.994Sb0.006,Polycrystalline,"Arc-melted, Ar",216.0,0.0013186,-274.0,0.0056936,1.3448,2.963660104,758.38,700.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
58,CeFe3CoSb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.00103,101.0,0.00099039,0.15555838,1.91,970.87,300.0,http://dx.doi.org/10.1109/ICT.1996.553263
59,Ca0.96Bi0.04Mn0.96Nb0.04O3,Polycrystalline,Solid state reaction,62.0,0.009823585,-114.15,0.00013265,0.024563669,2.16005,101.8,400.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
60,Mg2Si0.994Bi0.006,Polycrystalline,"Mechanochemical, Ar",225.0,0.00033,-61.0,0.0011276,0.051644691,6.55,3030.3,300.0,http://dx.doi.org/10.1039/C1JM10827A
61,Zn0.98Al0.02O,Polycrystalline,"Solid state reaction, air",186.0,0.001819701,-175.0,0.001683,0.212496077,7.92,444.2,1000.0,http://dx.doi.org/10.1039/A602506D
62,Si0.8Ge0.2,Nanoparticles,,227.0,0.003342,254.0,0.0019305,,,299.22,1000.0,Personal communication
63,CuRh0.9Mg0.1O2,Polycrystalline,"Solid state reaction, air",166.0,0.00270088,153.007,0.0008668,0.035498382,9.76717,370.25,400.0,http://dx.doi.org/10.1109/ICT.2006.331289
64,SrNb0.15Ti0.85O3,Polycrystalline,"Solid state reaction, Ar",221.0,0.055185202,-99.982,1.8114e-05,0.003633236,3.49,18.121,700.0,http://dx.doi.org/10.1016/j.jallcom.2010.06.195
65,Li0.0066Ni0.9944O,Polycrystalline,Solid state reaction,225.0,5.08646999,249.37,1.2226e-06,5.87234e-05,8.32761,0.1966,400.0,http://dx.doi.org/10.1143/JJAP.38.L1336
66,Li0.0184Ni0.9816O,Polycrystalline,Solid state reaction,225.0,0.064272309,116.91,2.1265e-05,,,15.559,400.0,http://dx.doi.org/10.1143/JJAP.38.L1336
67,ZnO,Polycrystalline,"Solid state reaction, air",186.0,0.084836351,-159.904,3.014e-05,,,11.787,700.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
68,Ca5Al2Sb6,Polycrystalline,"Solid state reaction, Ar",55.0,0.409,463.0,5.2413e-05,0.017044865,1.23,2.445,400.0,http://dx.doi.org/10.1002/adfm.201000970
69,Bi86Sb14,Polycrystalline,"Melted, vacuum",166.0,0.000256248,-81.3,0.0025822,,,3902.5,300.0,http://dx.doi.org/10.1016/j.jpcs.2004.01.010
70,BaPbO3,Polycrystalline,Solid state reaction (under oxygen),74.0,0.000858552,-30.17,0.00010604,,,1164.8,1000.0,http://dx.doi.org/10.1023/A:1018515223271
71,CeFe4Sb12,Polycrystalline,"Melted, vacuum",204.0,0.000993432,68.2676,0.00046913,,,1006.6,300.0,http://www.jstor.org/stable/2889796
72,CeFeCo3Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00985308,-102.424,0.00010647,,,101.49,400.0,http://www.jstor.org/stable/2889796
73,BaPbO3,Polycrystalline,Solid state reaction (under oxygen),74.0,0.000509409,-31.98,0.00020077,0.019323409,4.15607,1963.1,400.0,http://dx.doi.org/10.1023/A:1018515223271
74,CaGd0.94Mn0.06O3,Polycrystalline,Co-precipitation,62.0,0.008659808,-144.73,0.00024188,0.079142343,2.1394,115.48,700.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
75,Pb1.8S1.8Ti2S4,Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,0.002174,-128.9,0.00076427,0.274353006,1.95,459.98,700.0,http://dx.doi.org/10.3390/ma3042606
76,Ba8Au5.14Si39.51,Polycrystalline,"Melted, inert",223.0,0.00287,-98.25,0.00033634,0.096098183,2.45,348.43,700.0,http://dx.doi.org/10.1063/1.3682585
77,Sr3Ti1.6Nb0.4O7,Polycrystalline,"Solid state reaction, Ar",221.0,0.002173913,-57.16,0.00015029,0.015454418,3.89,460.0,400.0,http://dx.doi.org/10.1063/1.3117943
78,Ca2.97Na0.03AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0172,287.5,0.00048056,0.717253124,0.67,58.14,1000.0,http://dx.doi.org/10.1039/c0ee00517g
79,Ca3AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.2486,411.8,6.8214e-05,0.064093403,0.745,4.0225,700.0,http://dx.doi.org/10.1039/c0ee00517g
80,Mg2Si0.6Ge0.4Ag0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.0284,157.9,8.779e-05,0.011364424,3.09,35.211,400.0,http://dx.doi.org/10.1007/s11664-009-0735-1
81,LaFe3CoSb12,Polycrystalline,"Melted, vacuum",204.0,0.00183033,142.661,0.0011119,0.277984857,1.6,546.35,400.0,http://www.jstor.org/stable/2889796
82,Mg2Si0.98Bi0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.00186,-212.3,0.0024271,0.88258266,2.75,538.5,1000.0,http://dx.doi.org/10.1007/s11664-009-0735-1
83,Mg2Si,Polycrystalline,"Melted, Ar",225.0,0.001976,-189.0,0.0018077,0.180774291,4.0,506.07,400.0,http://dx.doi.org/10.1016/j.jallcom.2007.09.101
84,Sr0.9La0.1TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.001650323,-115.0,0.00080136,0.060708962,5.28,605.94,400.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
85,Ca3Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.028737366,84.2826,2.4719e-05,,,34.798,700.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
86,Ba7SrAl16Si30,Polycrystalline,"Flux (Al), dynamic vacuum",223.0,0.000660331,-33.75,0.00017247,0.029608249,2.33,1514.4,400.0,http://dx.doi.org/10.1016/j.jssc.2011.02.027
87,Ca0.9Bi0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.003996595,-100.786,0.00025416,0.032308362,3.1467,250.21,400.0,http://dx.doi.org/10.1006/jssc.1995.1384
88,WO2.722,Polycrystalline,Spark plasma sintering,10.0,6.45796e-05,-25.74,0.0010256,0.037628248,8.177,15485.0,300.0,Personal communication
89,CuRh0.9Mg0.1O2,Polycrystalline,Solid state reaction,166.0,0.001937,115.116,0.00068413,,,516.26,400.0,http://dx.doi.org/10.1007/s11664-009-0815-2
90,CuRh0.9Mg0.1O2,Polycrystalline,Solid state reaction,166.0,0.00319853,145.515,0.00066201,,,312.64,700.0,http://dx.doi.org/10.1007/s11664-009-0815-2
91,SrTi0.8Nb0.2O3,Polycrystalline,"Solid state reaction, air",221.0,0.004614717,-122.314,0.0003242,0.036960421,6.14,216.7,700.0,http://orbit.dtu.dk/en/publications/improvement-of-niobium-doped-srtio3-by-nanostructuring(2b6f4b33-1a6f-4472-ac18-6996f91cd743).html
92,NaCo2O4,Single crystal,"Flux (NaCl), air",194.0,0.0006,200.0,0.0066667,1.399413646,4.7639,1666.7,1000.0,http://dx.doi.org/10.1143/JJAP.40.4644
93,Tl9BiTe6,Polycrystalline,"Melted, zone refined",140.0,0.00642,256.0,0.0010208,0.636679814,0.481,155.76,300.0,http://dx.doi.org/10.1103/PhysRevLett.86.4350
94,Sr0.9Y0.1TiO3,Polycrystalline,"Solid state reaction, air",221.0,0.001259,-119.5,0.0011343,0.075616892,6.0,794.28,400.0,http://jjap.jsap.jp/link?JJAP/43/L540/
95,Ca0.9Bi0.1Mn0.9Nb0.1O3,Polycrystalline,Solid state reaction,62.0,0.008303286,-92.67,0.00010342,,,120.43,1000.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
96,CaMn0.98Ru0.02O3,Polycrystalline,Solid state reaction,62.0,0.0183658,-153.66,0.00012855,,,54.449,400.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
97,Mo6Te6S2,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000946,11.6892,1.4444e-05,0.003449371,2.93114,1057.1,700.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
98,Si0.8Ge0.2,Polycrystalline,"Ball milling, hot-pressed nanopowders",227.0,0.001291918,138.43,0.0014833,0.235493287,2.51953,774.04,400.0,http://dx.doi.org/10.1021/nl8026795
99,ZrNi1.98Cu0.02Sn,Polycrystalline,"Arc melted, Ar",216.0,0.00117,-136.0,0.0015822,0.093139486,6.795,855.43,400.0,http://dx.doi.org/10.1016/j.jallcom.2004.02.061
100,Ca4.95Na0.05Al2Sb6,Polycrystalline,"Solid state reaction, Ar",55.0,0.0181,261.7,0.00037838,0.317966897,0.833,55.249,700.0,http://dx.doi.org/10.1002/adfm.201000970
101,CaMn7O12,Polycrystalline,"Solid state reaction, air",194.0,0.0405007,-20.1644,1.0039e-06,,,24.691,1000.0,http://dx.doi.org/10.1063/1.1687532
102,Si0.7956Ge0.1989P0.0055,Polycrystalline,Vacuum hot pressed,227.0,0.00194253,-230.877,0.0027441,0.51588803,3.72337,514.79,700.0,http://dx.doi.org/10.1063/1.348408
103,Ca0.96La0.04MnO3,Polycrystalline,Solid state reaction,62.0,0.022216199,-160.09,0.00011535,,,45.012,1000.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
104,Cr1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",2.0,0.000814423,69.9615,0.00060099,0.188309984,3.1915,1227.9,1000.0,http://dx.doi.org/10.1007/s11664-009-0975-0
105,Tl2SnTe5,Polycrystalline,Melted,140.0,0.0042,219.0,0.0011419,0.067304238,5.09,238.1,300.0,http://dx.doi.org/10.1063/1.124182
106,Si0.9Ge0.1,Nanoparticles,,227.0,0.00208,192.0,0.0017723,,,480.77,400.0,Personal communication
107,Si0.8Ge0.2,Nanoparticles,,227.0,0.001705,161.0,0.0015203,,,586.51,400.0,Personal communication
108,NaCo2O4,Polycrystalline,"Solid state reaction, air",194.0,0.00211,104.0,0.00051358,0.080921257,1.904,474.83,300.0,http://dx.doi.org/10.1143/JJAP.40.4644
109,TiNiSn,Polycrystalline,Magnetic levitation induction furnace,216.0,0.00217,-233.0,0.0025018,0.31783268,5.51,460.83,700.0,http://dx.doi.org/10.1063/1.4765358
110,Ni0.02Zn0.98O,Polycrystalline,Solid state reaction,186.0,0.28672595,-229.87,1.8428e-05,0.0,5.42075,3.4877,,http://dx.doi.org/10.1111/j.1551-2916.2005.00131.x
111,Ni0.02Zn0.98O,Polycrystalline,Solid state reaction,186.0,0.944985838,-204.62,4.4307e-06,0.0,8.99308,1.0582,,http://dx.doi.org/10.1111/j.1551-2916.2005.00131.x
112,Ca0.9La0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.010285695,-88.437,7.6039e-05,,,97.222,1000.0,http://dx.doi.org/10.1006/jssc.1995.1384
113,Ba8Ga16Ge30,Polycrystalline,"Solid state reaction, Ar",223.0,0.00161,-107.38,0.00071618,0.385634261,1.3,621.12,700.0,http://dx.doi.org/10.1103/PhysRevB.77.075203
114,Tl2SnTe5,Polycrystalline,"Melted, hotpressed",140.0,0.00433,163.0,0.0006136,0.027271234,6.75,230.95,300.0,http://dx.doi.org/10.1063/1.124182
115,In0.1Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00292032,-257.3,0.002267,0.310801835,2.18825,342.43,300.0,http://dx.doi.org/10.1021/cm052055b
116,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.302535,-650.91,0.00014004,0.011795412,3.56184,3.3054,300.0,http://dx.doi.org/10.1109/ICT.2006.331291
117,CeFe2Co2Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00499442,117.784,0.00027777,,,200.22,1000.0,http://www.jstor.org/stable/2889796
118,CuRhO2,Polycrystalline,"Solid state reaction, air",166.0,0.2193,275.3,3.456e-05,,,4.56,400.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
119,In1.94Ge0.06O3,Polycrystalline,Solid state reaction,206.0,0.000896151,-50.7871,0.00028782,0.00973701,8.86791,1115.9,300.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
120,Zr0.95Nb0.05NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000473698,-129.304,0.0035296,0.370509064,6.6684,2111.1,700.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
121,Zn0.97Al0.01Ti0.02O,Polycrystalline,"Solid state reaction, air",186.0,0.013252247,-195.093,0.00028721,,,75.459,1000.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
122,CaYb0.4Mn0.6O3,Polycrystalline,Solid state reaction,62.0,0.0106181,-50.9804,2.4477e-05,,,94.179,700.0,http://dx.doi.org/10.1109/ICT.2006.331291
123,CuCr0.95Mg0.05O2,Polycrystalline,"Solid state reaction, air",166.0,0.0408004,325.387,0.0002595,0.037136033,6.9878,24.51,1000.0,http://dx.doi.org/10.1109/ICT.2006.331288
124,Ba0.8Sr0.2PbO3,Polycrystalline,Solid state reaction (under oxygen),74.0,0.000550518,-41.77,0.00031691,0.055061518,4.0289,1816.5,700.0,http://dx.doi.org/10.1023/A:1018515223271
125,CuRh0.9Mg0.1O2,Polycrystalline,"Solid state reaction, air",166.0,0.00299,144.9,0.00070221,,,334.45,700.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
126,Ca0.96Sm0.04MnO3,Polycrystalline,Co-precipitation,62.0,0.0110453,-187.5,0.00031829,,,90.536,1000.0,http://dx.doi.org/10.1109/ICT.2007.4569450
127,Mg2Si0.997Bi0.003,Polycrystalline,"Mechanochemical, Ar",225.0,0.000929,-153.0,0.0025198,0.499678292,3.53,1076.4,700.0,http://dx.doi.org/10.1039/C1JM10827A
128,Ca0.9Tb0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.0107547,-90.28,7.5784e-05,0.019099891,1.5871,92.983,400.0,http://dx.doi.org/10.1063/1.2362922
129,Pb0.97Sr0.02TeNa0.01,Polycrystalline,Melting,225.0,0.000706714,117.0,0.001937,0.347443,2.23,1415.0,400.0,http://dx.doi.org/10.1038/nature11439
130,NbCo1.10Sn,Single crystal,Floating zone melting,216.0,0.00242362,-199.4,0.0016405,0.242232068,6.77258,412.61,1000.0,http://dx.doi.org/10.1063/1.2828713
131,Mo6Te7S,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000767,3.34933,1.4626e-06,0.000158231,2.77301,1303.8,300.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
132,CuCr0.98Mg0.02O2,Polycrystalline,"Solid state reaction, air",166.0,1.04523,311.548,9.2862e-06,0.000368593,7.5581,0.95673,300.0,http://dx.doi.org/10.1109/ICT.2006.331288
133,Zn0.97Al0.015Ti0.015O,Polycrystalline,"Solid state reaction, air",186.0,0.026005029,-143.177,7.883e-05,,,38.454,700.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
134,Ca3Co4O9,Single crystal,"Flux (SrCl2), air",12.0,0.002271,245.0,0.0026431,0.931656243,2.837,440.33,1000.0,http://link.aip.org/link/doi/10.1063/1.1562337
135,Cu4.0Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000831731,47.8006,0.00027472,0.061143091,1.3479,1202.3,300.0,http://dx.doi.org/10.1007/s11664-009-0975-0
136,CaMn0.96Ru0.04O3,Polycrystalline,Solid state reaction,62.0,0.0101835,-137.22,0.00018489,0.039949192,3.23973,98.198,700.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
137,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.24169,-587.185,0.00014266,0.018604483,3.06714,4.1375,400.0,http://dx.doi.org/10.1109/ICT.2006.331291
138,CuRh0.96Mg0.04O2,Polycrystalline,"Solid state reaction, air",166.0,0.0171,271.0,0.00042948,,,58.48,1000.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
139,Ca0.9Tb0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.0153302,-123.85,0.00010005,0.039875867,1.75635,65.231,700.0,http://dx.doi.org/10.1063/1.2362922
140,SrMn0.98Mo0.02O3,Polycrystalline,"Solid state reaction, air",194.0,0.0257653,-80.5607,2.5189e-05,,,38.812,300.0,http://dx.doi.org/10.1016/j.progsolidstchem.2007.01.027
141,Zn4Sb3,Polycrystalline,"Melted, inert",167.0,0.00258969,146.015,0.00082328,0.496100779,0.6638,386.15,400.0,http://dx.doi.org/10.1016/S0022-3697(96)00228-4
142,Ca2.97Na0.03AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0981,90.0,8.2569e-06,0.001483272,1.67,10.194,300.0,http://dx.doi.org/10.1039/c0ee00517g
