,formula,phase,processing,gfa
473,Al75Ce5Ni20,AM,meltspin,1
474,Al80Ce10Ni10,AM,meltspin,1
475,Al84Ce6Ni10,AM,meltspin,1
476,Al85Ce5Ni10,AM,meltspin,1
477,Al85Ce6Ni9,AM,meltspin,1
478,Al85Ce10Ni5,AM,meltspin,1
479,Al86Ce6Ni8,AM,meltspin,1
480,Al87Ce6Ni7,AM,meltspin,1
481,Al87Ce13Ni0,AM,meltspin,1
482,Al88Ce2Ni10,AM,meltspin,1
483,Al88Ce12Ni0,AM,meltspin,1
484,Al89Ce11Ni0,AM,meltspin,1
485,Al90Ce10Ni0,AM,meltspin,1
486,Al90Ce10Ni0,AM,meltspin,1
487,Al91Ce9Ni0,AM,meltspin,1
488,Al91Ce9Ni0,AM,meltspin,1
489,Al92Ce8Ni0,AM,meltspin,1
490,Al93Ce7Ni0,AM,meltspin,1
491,Al88Ce12Ni0,AC,meltspin,0
492,Al89Ce11Ni0,AC,meltspin,0
493,Al80Ce15Ni5,CR,meltspin,0
494,Al87Ce13Ni0,CR,meltspin,0
495,Al90Ce0Ni10,CR,meltspin,0
496,Al94Ce6Ni0,CR,meltspin,0
497,Al61Ce10Ni29,AM,meltspin,1
498,Al65Ce15Ni20,AM,meltspin,1
499,Al70Ce10Ni20,AM,meltspin,1
500,Al70Ce15Ni15,AM,meltspin,1
501,Al75Ce5Ni20,AM,meltspin,1
502,Al75Ce10Ni15,AM,meltspin,1
503,Al80Ce5Ni15,AM,meltspin,1
504,Al80Ce10Ni10,AM,meltspin,1
505,Al82Ce8Ni10,AM,meltspin,1
506,Al85Ce5Ni10,AM,meltspin,1
507,Al85Ce10Ni5,AM,meltspin,1
508,Al86Ce4Ni10,AM,meltspin,1
509,Al87Ce5Ni8,AM,meltspin,1
510,Al89Ce10Ni1,AM,meltspin,1
511,Al90Ce10Ni0,AM,meltspin,1
512,Al93Ce7Ni0,AM,meltspin,1
513,Al70Ce20Ni10,AC,meltspin,0
514,Al90Ce5Ni5,AC,meltspin,0
515,Al60Ce20Ni20,CR,meltspin,0
516,Al80Ce15Ni5,CR,meltspin,0
517,Al88Ce12Ni0,CR,meltspin,0
518,Al95Ce5Ni0,CR,meltspin,0
519,Al85Ce5Ni10,AM,meltspin,1
520,Al86Ce6Ni8,AM,meltspin,1
521,Al25Ce55Ni20,AM,meltspin,1
522,Al84Ce6Ni10,AM,meltspin,1
523,Al91Ce5Ni4,AM,meltspin,1
524,Al88Ce10V2,AM,meltspin,1
525,Al90Ce10V0,AM,meltspin,1
526,Al91Ce9V0,AM,meltspin,1
527,Al92Ce8V0,AM,meltspin,1
528,Al93Ce7V0,AM,meltspin,1
529,Al88Ce8V4,AC,meltspin,0
530,Al88Ce12V0,AC,meltspin,0
531,Al89Ce6V5,AC,meltspin,0
532,Al89Ce11V0,AC,meltspin,0
533,Al80Ce10V10,CR,meltspin,0
534,Al85Ce10V5,CR,meltspin,0
535,Al85Ce13V2,CR,meltspin,0
536,Al87Ce13V0,CR,meltspin,0
537,Al94Ce6V0,CR,meltspin,0
538,Al94Ce2V4,CR,meltspin,0
539,Al86Co12Fe2,AM,meltspin,1
540,Al87Co11Fe2,AM,meltspin,1
541,Al86Co14Fe0,AC,meltspin,0
542,Al87Co9Fe4,AC,meltspin,0
543,Al88Co2Fe10,AC,meltspin,0
544,Al88Co4Fe8,AC,meltspin,0
545,Al88Co6Fe6,AC,meltspin,0
546,Al88Co8Fe4,AC,meltspin,0
547,Al88Co10Fe2,AC,meltspin,0
548,Al88Co12Fe0,AC,meltspin,0
549,Al90Co0Fe10,AC,meltspin,0
550,Al90Co2Fe8,AC,meltspin,0
551,Al90Co4Fe6,AC,meltspin,0
552,Al90Co6Fe4,AC,meltspin,0
553,Al90Co8Fe2,AC,meltspin,0
554,Al90Co10Fe0,AC,meltspin,0
555,Al92Co0Fe8,AC,meltspin,0
556,Al92Co2Fe6,AC,meltspin,0
557,Al92Co4Fe4,AC,meltspin,0
558,Al92Co6Fe2,AC,meltspin,0
559,Al92Co8Fe0,AC,meltspin,0
560,Al94Co0Fe6,AC,meltspin,0
561,Al94Co2Fe4,AC,meltspin,0
562,Al94Co4Fe2,AC,meltspin,0
563,Al94Co6Fe0,AC,meltspin,0
564,Al96Co0Fe4,CR,meltspin,0
565,Al96Co2Fe2,CR,meltspin,0
566,Al96Co4Fe0,CR,meltspin,0
567,Al98Co0Fe2,CR,meltspin,0
568,Al98Co2Fe0,CR,meltspin,0
569,Al100Co0Fe0,CR,meltspin,0
570,Al84Co12Fe4,CR,meltspin,0
571,Al84Co14Fe2,CR,meltspin,0
572,Al86Co4Fe10,CR,meltspin,0
573,Al86Co6Fe8,CR,meltspin,0
574,Al86Co8Fe6,CR,meltspin,0
575,Al86Co10Fe4,CR,meltspin,0
576,Al86Co12Fe2,CR,meltspin,0
577,Al88Co0Fe12,CR,meltspin,0
578,Al88Co2Fe10,CR,meltspin,0
579,Al88Co4Fe8,CR,meltspin,0
580,Al88Co6Fe6,CR,meltspin,0
581,Al42Co10Ge48,AM,meltspin,1
582,Al57Co18Ge25,AM,meltspin,1
583,Al69Co6Ge25,AM,meltspin,1
584,Al78Co10Ge12,AM,meltspin,1
585,Al25Co20La55,AM,meltspin,1
586,Al88Co8Mn4,AC,meltspin,0
587,Al88Co10Mn2,AC,meltspin,0
588,Al88Co12Mn0,AC,meltspin,0
