,likely_mpid,expt_gap,formula
64,,2.4,Al0.6Ga0.4P1
65,,2.3,Al0.6In0.4P1
66,,2.42,Al0.75Ga0.25As1
67,,2.3,Al0.7In0.3P1
68,,2.43,Al0.8Ga0.2P1
69,,2.21,Al0.99Cd0.01Sb0.99Te0.01
70,,2.49,Al0.99Ga0.01P1
71,,2.4,Al0.99In0.01P1
72,mp-16722,0.0,Al10V
73,mp-17880,0.0,Al13Ru4
74,,0.0,Al2(CuSe2)3
75,mp-1982,0.0,Al21Pt8
76,,0.0,Al2CoIr
77,,0.0,Al2Cr2O7
78,,0.0,Al2CrS4
79,mp-998,0.0,Al2Cu
80,,0.0,Al2FeNi
81,mp-10910,0.0,Al2Ru
82,mp-684638,4.1,Al2S3
83,mp-11674,3.1,Al2Se3
84,,0.0,Al3Tc
85,,0.0,Al4Cu2O7
86,mp-593,0.0,Al4Cu9
87,mp-1791,0.0,Al5Rh2
88,mp-570001,0.0,Al6Fe
89,mp-16529,0.0,Al6Ru
90,mp-16718,0.0,Al6Tc
91,mp-569102,0.0,Al7(CN)3
92,mp-16488,0.0,Al9Co2
93,mp-12003,0.0,Al9Ir2
94,mp-1645,0.0,Al9Rh2
95,mp-9631,3.6,AlAgO2
96,mp-5782,3.13,AlAgS2
97,mp-14091,2.55,AlAgSe2
98,mp-14092,1.8,AlAgTe2
99,mp-2172,0.0,AlAs
100,mp-944,0.0,AlB2
101,,0.4,AlBi
102,,0.0,AlCoO3
103,mp-12802,0.0,AlCu3
104,,0.0,AlCu7O12
105,mp-4979,3.5,AlCuS2
106,mp-8017,2.06,AlCuTe2
107,,0.0,AlFe2Si
108,,0.0,AlFe4(CuO4)3
109,mp-1885,0.0,AlIr
110,,0.0,AlNi2
111,mp-27393,0.0,AlPd5I2
112,,0.0,AlSn
113,mp-1194859,2.9,AlV(TeO4)2
114,mp-4955,0.0,AlVCo2
115,mp-15649,1.0,As2Ir
116,mp-1581,4.0,As2O3
117,mp-2455,0.9,As2Os
118,mp-15954,1.15,As2Rh
119,mp-766,0.8,As2Ru
120,,2.48,As2S5
121,,0.0,AsAu3
122,mp-23317,2.6,AsBr3
123,,1.3,AsOsS
124,,0.23,AsP
125,,0.45,AsPPd
126,,0.4,AsPPt
127,,0.8,AsPRu
128,mp-20257,0.0,AsPd3Pb2
129,,1.2,AsRuS
130,mp-542810,2.4,AsS
131,,2.35,AsS3
132,,2.05,AsSI
133,,0.0,AsSeBr
134,mp-505373,1.76,AsSeI
135,,0.0,Au3S
136,,0.0,AuBrO2
137,mp-1196917,2.9,B2Mo(PbO2)6
138,mp-306,4.89,B2O3
139,mp-558521,4.64,B2Se2O7
140,,4.42,B3H2Pb2O7.5
141,,3.25,B3Pb10Br3O13
142,mp-1200969,3.64,B3Pb3NO10
143,mp-696746,1.64,B4C
144,,3.24,B4H2Pb6O13
145,,0.0,B4W
146,,0.0,B5Mo2
147,mp-624,1.51,B6As
148,mp-28395,3.3,B6P
149,mp-10044,1.45,BAs
150,mp-1105235,3.76,BH(PbO2)2
151,mp-1890,0.0,BMo
152,mp-1479,4.2,BP
153,,3.99,BPb2ClO3
154,,2.84,BPb6BrO7
155,mp-1201413,2.62,BPb7Br3O7
156,mp-21502,0.0,BRh2
157,,2.6,BSb
158,,1.8,BSbPbS4
159,,0.0,BSe2Cl
160,,0.0,BTe2As
161,mp-571350,0.0,Ba(AsPd)2
162,mp-568113,0.0,Ba(AsRh)2
163,mp-7349,0.0,Ba(BRh)2
164,mp-27660,0.0,Ba(FeS2)2
165,mp-849286,4.13,Ba(GaS2)2
166,mp-7841,3.16,Ba(GaSe2)2
167,mp-21943,3.06,Ba(InS2)2
168,mp-21766,2.63,Ba(InSe2)2
169,mp-571420,0.0,Ba(NiP2)2
170,,0.0,Ba(PdO2)2
171,,0.0,Ba(SnO2)4
172,mp-7427,0.23,Ba(ZnAs)2
173,,0.13,Ba1.88Ta15O32
174,,2.56,Ba12In4S19
175,mp-738639,0.0,Ba14Ir8(PdO11)3
176,,0.0,Ba14Na8CaN6
177,,2.84,Ba23Ga8(SbS19)2
178,,5.12,Ba2B4H2O9
179,mp-1199077,6.53,Ba2B6H4O13
180,,5.17,Ba2B6O11
181,mp-23127,0.0,Ba2BiSbO6
182,mp-6739,0.0,Ba2CaOsO6
183,mp-12417,0.0,Ba2CaReO6
184,mp-1190588,4.59,Ba2Cd(BO2)6
185,,0.0,Ba2Ce2O5
186,,1.35,Ba2CeInTe5
187,mp-22112,0.0,Ba2CoWO6
188,mp-29457,0.0,Ba2Cu5F14
189,mp-505618,0.0,Ba2CuWO6
190,mp-622105,0.0,Ba2DyCu3O7
191,mp-1105698,2.35,Ba2DyGaSe5
192,mp-1105922,1.13,Ba2DyGaTe5
193,mp-1106127,2.27,Ba2DyInSe5
194,mp-1189860,1.35,Ba2DyInTe5
195,mp-1105790,1.95,Ba2ErGaSe5
196,mp-1105724,1.15,Ba2ErGaTe5
197,mp-1188122,2.29,Ba2ErInSe5
198,mp-1106146,1.35,Ba2ErInTe5
199,mp-1289745,0.0,Ba2FeMoO6
200,mp-31756,0.0,Ba2FeReO6
201,,3.0,Ba2Ga8GeS16
202,,3.4,Ba2Ga8SiS16
203,mp-1195309,1.39,Ba2GaAsSe5
204,mp-1201906,2.38,Ba2GaBiS5
205,mp-1203584,2.21,Ba2GaBiSe5
206,mp-1202829,1.43,Ba2GaBiTe5
207,mp-1199702,2.55,Ba2GaS4
208,mp-1203387,2.51,Ba2GaSbSe5
209,mp-1200935,1.66,Ba2GaSbTe5
210,mp-1195574,1.63,Ba2GaSe4
211,mp-1190156,1.87,Ba2GdGaSe5
212,mp-1105573,1.12,Ba2GdGaTe5
213,,2.24,Ba2GdInSe5
214,,1.36,Ba2GdInTe5
215,mp-1194545,2.4,Ba2HgS5
216,mp-22841,2.47,Ba2In2S5
217,mp-573635,2.12,Ba2In2Se5
218,mp-1197611,2.32,Ba2InAgS4
219,mp-864638,1.55,Ba2InBiS5
220,mp-1189339,1.92,Ba2InSbSe5
221,mp-15889,0.0,Ba2LaIrO6
222,mp-8924,0.0,Ba2LiFe2N3
223,mp-1191092,0.45,Ba2NaCu3S5
224,,2.12,Ba2NdGaS5
225,mp-1205363,2.18,Ba2NdGaSe5
226,mp-1190093,2.2,Ba2NdInSe5
227,mp-1205400,1.37,Ba2NdInTe5
228,mp-20286,0.0,Ba2ReNiO6
229,,2.7,Ba2Sb7HO14
230,,0.0,Ba2ScIrO6
231,,4.19,Ba2ScTaO6
232,mp-21451,0.0,Ba2SmCu3O7
233,mp-1189376,2.27,Ba2SmGaSe5
234,mp-1189729,1.04,Ba2SmGaTe5
235,mp-1188304,2.22,Ba2SmInSe5
236,,1.36,Ba2SmInTe5
237,,3.02,Ba2SmTaO6
238,mp-1192595,1.9,Ba2SnSe4
239,mp-31307,1.8,Ba2SnSe5
240,mp-1079630,4.17,Ba2TaInO6
241,mp-12410,0.0,Ba2TbIrO6
242,mp-1078405,1.75,Ba2ThCu2Se5
243,mp-1205359,0.0,Ba2UCuO6
244,mp-1204192,3.16,Ba2V2Te2O11
245,mp-556688,3.48,Ba2V2ZnO8
246,,2.64,Ba2V4(TeO6)3
247,mp-1106265,2.31,Ba2YGaSe5
248,mp-1189739,1.08,Ba2YGaTe5
249,mp-1205397,2.31,Ba2YInSe5
250,mp-1106096,1.36,Ba2YInTe5
251,mp-6430,0.0,Ba2YReO6
252,mp-15039,0.0,Ba2Yb(CuO2)4
253,,3.54,Ba2Zn0.2B2S5.2
254,mp-1190528,2.75,Ba2ZnSe3
255,mp-1190380,2.1,Ba2ZnTe3
256,mp-10669,0.0,Ba3(AlGe)2
257,mp-30254,0.0,Ba3(LiSn2)4
258,,2.37,Ba3Ag2(SnS4)2
259,,3.01,Ba3B1.5Sb0.5S6
260,,2.62,Ba3BSbS6
261,,1.89,Ba3BSbSe6
262,,2.43,Ba3Bi0.5B1.5S6
263,mp-556407,2.3,Ba3Bi2TeO9
264,mp-17448,0.0,Ba3CaIr2O9
265,mp-6443,0.0,Ba3CaRu2O9
266,,2.75,Ba3Cd(SnS4)2
267,,0.0,Ba3Co10O17
268,mp-30903,0.0,Ba3CrS5
269,mp-560798,3.28,Ba3Dy2(PS4)4
270,mp-560534,3.3,Ba3Er2(PS4)4
271,mp-541721,0.0,Ba3ErRu2O9
272,,4.09,Ba3Eu(PO4)3
273,mp-1195713,1.65,Ba3FeS4Br
274,mp-684036,3.41,Ba3Gd2(PS4)4
275,mp-1200759,3.0,Ba3GeS5
276,mp-559171,3.3,Ba3Ho2(PS4)4
277,mp-1200796,3.87,Ba3In2(PO4)4
278,mp-1205371,3.42,Ba3InS4Cl
279,,1.8,Ba3La3(Cu3O7)2
280,mp-6325,4.28,Ba3MgTa2O9
281,,0.0,Ba3N2
282,mp-21876,0.0,Ba3NaIr2O9
283,mp-9746,0.0,Ba3NaIrO6
284,mp-31514,0.0,Ba3Nb2CoO9
285,mp-1195033,1.3,Ba3Nb2Se9
286,mp-1194911,6.89,Ba3P3ClO10
287,,0.0,Ba3PN
288,mp-1195624,2.4,Ba3Sb2S7
289,,0.97,Ba3Sn(SbSe4)2
290,,0.79,Ba3Sn0.87Bi2.13Se8
291,mp-1195068,1.6,Ba3Ta2Se9
292,,4.32,Ba3Ta2ZnO9
293,,2.8,Ba3Ta5NO14
294,mp-554264,3.37,Ba3Tb2(PS4)4
295,,0.0,Ba3Te
296,mp-1095255,1.96,Ba3ThSe7
297,mp-1200758,2.87,Ba3V2(SeO4)4
298,mp-1205382,0.0,Ba3YIr2O9
299,,0.0,Ba3Yb4O9
300,mp-561170,0.0,Ba3ZrRu2O9
301,,7.1,Ba4B11O20F
302,,2.18,Ba4Ga4GeSe12
303,mp-1195344,2.16,Ba4Ga4SnSe12
304,,2.52,Ba4Ga5AgS12
305,,2.82,Ba4Ga5CuS12
306,,1.45,Ba4Ga5CuSe12
307,,0.31,Ba4Ga5Si18
308,,2.91,Ba4Ge3S9Cl2
309,,1.89,Ba4Ge3Se9Cl2
310,,2.41,Ba4InAgSe6
311,,2.23,Ba4InCuSe6
312,mp-1197353,2.65,Ba4LiGa5Se12
313,mp-4564,0.0,Ba4Nb14O23
314,,2.09,Ba4Sb3S8Cl
315,mp-17815,0.0,Ba4Si20Au3
316,,1.76,Ba4Si3Se9Cl2
317,mp-636383,0.0,Ba4Sm2Cu2O9
318,mp-653337,0.0,Ba4Yb(CuO3)3
319,,2.2,Ba5(Ga2Se5)2
320,mp-1204617,2.51,Ba5(GaSe4)2
321,mp-570390,0.0,Ba5Al2Ge7
322,mp-29621,0.0,Ba5Bi3
323,,2.6,Ba5Cd(Ga2Se5)3
324,,1.39,Ba5Ga6GeP12
325,,1.21,Ba5Ga6SnP12
326,mp-21538,0.0,Ba5Ge3
327,mp-31407,0.0,Ba5In4Bi5
328,mp-1105201,2.13,Ba5In4Te4S7
329,mp-9909,0.0,Ba5Sb3
330,,3.85,Ba5V3O12F
331,,3.44,Ba6Al4B14O33
332,,1.99,Ba6Ga2SnSe11
333,,0.0,Ba6In2NF
334,mp-1196224,1.52,Ba6Sn6Se13
335,,2.29,Ba7(SnS3)5
336,,4.94,Ba7B3O9F5
337,,2.6,Ba7Ga5AgS15
338,mp-556877,0.0,Ba7Ru4Br2O15
339,mp-1019529,3.1,Ba8Al10B12O41
340,,1.98,Ba8Hg4Se7S5
341,mp-1195594,2.31,Ba8Sn4S15
342,,0.0,Ba8Ta7O24
343,mp-11840,0.0,BaAg
344,mp-1241,0.0,BaAg2
345,mp-1190401,2.2,BaAgSbS3
346,mp-551,0.0,BaAl2
347,mp-1191234,3.4,BaAl4Se7
348,,0.0,BaAlCu4O7
349,,2.32,BaAu(IO3)5
350,mp-30363,0.0,BaAu2
351,mp-954,2.64,BaB6
352,mp-1103527,6.89,BaBClF4
353,mp-866301,2.34,BaBSbS4
354,mp-552806,3.71,BaBiClO2
355,mp-1019542,5.6,BaCaB2O5
356,mp-583645,0.0,BaCaSn3
357,mp-12306,2.3,BaCdSnS4
358,mp-12364,0.48,BaCu2SnSe4
359,,2.0,BaCuSbS3
360,,1.6,BaCuSbSe3
361,mp-13287,2.3,BaCuTeF
362,mp-22550,0.0,BaDy2CuO5
363,mp-579071,0.0,BaEu2Mn2O7
364,,3.23,BaGa2GeS6
365,,3.75,BaGa2SiS6
366,,2.88,BaGa2SiSe6
367,mp-4309,3.54,BaGa4S7
368,mp-1191072,2.64,BaGa4Se7
369,mp-2139,1.0,BaGe2
370,mp-22346,0.0,BaGe3Pt
371,,1.54,BaGe4(IrS3)2
372,,1.33,BaGe4(IrSe3)2
373,,1.09,BaGe4(RhSe3)2
374,mp-28007,1.93,BaHgS2
375,,1.56,BaHgSe2
376,mp-1205018,3.97,BaIn2(P2O7)2
377,mp-22780,0.0,BaIn2Ir
378,mp-22423,0.0,BaLa2CoS5
379,,1.87,BaLa2In2S7
380,,1.66,BaLa2In2Se7
381,mp-559703,3.81,BaLa2Te5O14
382,mp-210,0.0,BaLi4
383,,0.0,BaMn4O7
384,,0.0,BaMn4ZnO8
385,mp-1205336,0.0,BaMnO3
386,,3.7,BaNa2GeS4
387,,2.25,BaNa2GeSe4
388,,3.27,BaNa2SnS4
389,,2.46,BaNa2SnSe4
390,mp-1019554,4.78,BaNaB5O9
391,mp-505517,0.0,BaNb4O6
392,mp-1342,4.8,BaO
393,mp-1106270,1.97,BaPd(IO3)4
394,,2.15,BaPdSe6
395,mp-22705,2.0,BaPrO3
396,mp-811,0.0,BaPt5
397,mp-28911,3.44,BaReH9
398,mp-1500,3.88,BaS
399,mp-2499,0.0,BaSi
400,mp-1477,1.3,BaSi2
401,mp-1202711,2.35,BaSn2S5
402,mp-7759,0.0,BaSn3
403,mp-3163,3.1,BaSnO3
404,,1.78,BaTaNO2
405,mp-558858,0.0,BaTbMn2O6
406,mp-1000,3.4,BaTe
407,mp-1203413,3.12,BaTeMo2O9
408,,0.0,BaTh3
409,,0.0,BaTi14O28
410,,0.0,BaTi4O7
411,,0.0,BaTi4O8
412,,0.0,BaTl(MoO3)2
413,,0.0,BaTl3
414,,1.0,BaUSe3
415,mp-1200210,2.13,BaV2SeO8
416,,0.0,BaYb2O4
417,mp-571479,0.0,BaYbSn3
418,,0.0,BaZn(MoO2)4
419,mp-303,0.0,BaZn5
420,,2.46,BaZnGeSe4
421,mp-548469,3.9,BaZnSO
422,,2.71,BaZnSiSe4
423,mp-571622,0.0,Be12Pt
424,mp-569364,0.0,Be22Re
425,,0.0,Be2HgTe
426,mp-11282,0.0,Be2W
427,mp-18337,3.8,Be3N2
428,,0.67,Be3Sb2
429,mp-4262,0.0,BeAlB
430,mp-2323,0.0,BeCu
431,,0.0,BeFe2Si
432,,0.0,BeGaO3
433,,0.0,BeGaRh2
434,mp-2542,10.39,BeO
435,mp-13452,0.0,BePd2
436,mp-13453,0.0,BePd3
437,mp-422,4.17,BeS
438,mp-1541,4.0,BeSe
439,,0.0,BeSiOs2
440,,0.0,BeSiRu2
441,,0.0,BeTcSe
442,mp-252,2.89,BeTe
443,,0.79,Bi0.002Te0.003Pb0.999Se0.999
444,,0.28,Bi0.04Te0.06Pb0.98Se0.98
445,,0.28,Bi0.2Sb1.8Te3
446,,0.25,Bi0.2Te0.3Pb0.9Se0.9
447,,0.21,Bi0.4Sb1.6Te3
448,,0.22,Bi0.4Te0.6Pb0.8Se0.8
449,,0.2,Bi0.6Sb1.4Te3
450,,0.17,Bi1.4Sb0.6Te3
451,,0.16,Bi1.6Sb0.4Te3
452,,0.15,Bi1.8Sb0.2Te3
453,,0.14,Bi1.98Sb0.02Te3
454,,3.25,Bi12PO20
455,,0.0,Bi12Rh12O41
456,,0.02,Bi1Sb0.15
457,,0.0,Bi2(BO3)3
458,mp-23388,2.9,Bi2(MoO4)3
459,,0.0,Bi2(PO4)3
460,,2.91,Bi24BO39
461,,3.43,Bi2AsClO4
462,mp-30200,3.42,Bi2CO5
463,mp-1204764,3.3,Bi2I4O13
464,mp-1200193,3.15,Bi2Mo2Se2O13
465,,0.0,Bi2O5
466,mp-23012,0.0,Bi2Pd3S2
467,mp-568531,0.0,Bi2Pt
468,,3.74,Bi2SI2O11
469,mp-541837,0.35,Bi2Se3
470,,3.7,Bi2SeI2O11
471,,0.27,Bi2Te0.03Se2.97
472,,0.78,Bi2Te0.1Se2.9
473,,0.24,Bi2Te0.3Se2.7
474,,0.2,Bi2Te0.45Se2.55
475,,0.7,Bi2Te0.4Se2.6
476,,0.28,Bi2Te0.6Se2.4
477,,0.28,Bi2Te0.9Se2.1
478,,0.28,Bi2Te1.2Se1.8
479,,0.29,Bi2Te1.5Se1.5
480,,0.29,Bi2Te2.1Se0.9
481,,0.25,Bi2Te2.4Se0.6
482,,0.2,Bi2Te2.7Se0.3
483,,0.15,Bi2Te2.97Se0.03
484,,3.6,Bi2Te2SO10
485,mp-29666,0.3,Bi2Te2Se
486,mp-34202,0.25,Bi2Te3
487,,2.6,Bi3BTeO9
488,,3.7,Bi3I4O13F3
489,,3.59,Bi3Se2NO11
490,mp-583234,0.0,Bi4I
491,mp-1190436,0.29,Bi4Pb7Se13
492,,2.06,Bi4Pd(SeO3)4
493,mp-554445,2.76,Bi5IO7
494,mp-1190898,4.05,Bi7O5F11
495,,0.4,Bi8Te7S5
496,,1.27,Bi9S6O7.5
497,,0.0,BiAs2Os
498,mp-556601,3.2,BiBPbO4
499,mp-568301,2.66,BiBr3
500,mp-23072,2.92,BiBrO
501,mp-22939,3.46,BiClO
502,,3.97,BiIO3F2
503,,0.0,BiO
504,,3.7,BiP3(PbO4)3
505,mp-558798,3.85,BiPO4
506,,1.6,BiPb2S2I3
507,mp-23084,2.45,BiPbClO2
508,mp-1008488,0.0,BiPd
509,mp-23324,1.88,BiSBr
510,mp-23318,1.89,BiSCl
511,mp-23514,1.56,BiSI
512,,0.19,BiSbTe3
513,mp-27902,0.4,BiSe
514,mp-23020,1.28,BiSeI
515,,3.83,BiSeO3F
516,mp-22965,0.46,BiTeI
517,mp-1195032,3.62,BiTeNO6
518,,3.7,CBr4
519,,2.26,CI4
520,mp-7878,0.0,Ca(AgGe)2
521,mp-17871,0.0,Ca(Al4Co)2
522,mp-30175,0.0,Ca(AlZn)2
523,mp-10289,0.0,Ca(BC)2
524,mp-14445,0.0,Ca(BIr)2
525,mp-558751,3.08,Ca(BiO2)2
526,mp-4259,0.0,Ca(CoGe)2
527,,0.0,Ca(CoS2)4
528,,2.55,Ca(GdS2)2
529,mp-16261,0.0,Ca(GeRh)2
530,,2.7,Ca(LaS2)2
531,mp-5498,0.0,Ca(MnAs)2
532,,2.7,Ca(NdS2)2
533,,0.0,Ca(Ni2O3)2
534,,2.9,Ca(PrS2)2
535,mp-567769,0.0,Ca(SiPd)2
536,,2.05,Ca(SmS2)2
537,,0.0,Ca(TiS2)4
538,mp-1019569,5.47,Ca10Ge16(B2O17)3
539,mp-27298,0.0,Ca11Bi10
540,mp-30474,0.0,Ca11Ga7
541,mp-28848,3.34,Ca2Bi2O5
542,mp-1095180,0.95,Ca2CdAs2
543,,0.0,Ca2CdPb
544,,0.0,Ca2Co9O13
545,,0.0,Ca2CuWO6
546,mp-304,1.0,Ca2Ge
547,mp-29809,0.0,Ca2GeN2
548,,0.0,Ca2Mn9O13
549,mp-18907,0.0,Ca2MnAlO5
550,,0.0,Ca2NiIrO6
551,mp-2923,0.0,Ca2Os2O7
552,mp-20723,0.0,Ca2PbAu2
553,mp-1189528,3.68,Ca2ScSbO6
554,mp-2517,1.9,Ca2Si
555,,3.45,Ca2SmTaO6
556,mp-22735,0.9,Ca2Sn
557,,0.0,Ca2Sn2F3
558,mp-866503,2.32,Ca2SnS4
559,,0.0,Ca2Ti9O13
560,,0.0,Ca2TlCd
561,,0.0,Ca2ZnRh
562,mp-31479,0.0,Ca3(GaPt)2
563,mp-27997,0.0,Ca3Al2Ge3
564,mp-30366,0.0,Ca3Au
565,mp-12699,0.0,Ca3Au4
566,,4.2,Ca3Bi(PO4)3
567,,0.0,Ca3BiAs
568,,0.0,Ca3BiSb
569,mp-23095,0.0,Ca3Cu2(ClO2)2
570,mp-20581,0.0,Ca3In
571,,1.45,Ca3La2(SnS4)3
572,mp-844,1.55,Ca3N2
573,,0.0,Ca3PbN
574,,1.4,Ca3Sb2
575,,0.0,Ca3SbN
576,,0.0,Ca3Sn2S7
577,,1.65,Ca3Ti2(SiO4)3
578,mp-10554,0.0,Ca3TlN
579,,0.0,Ca3Zr17O37
580,,0.0,Ca4Al3O10
581,,2.76,Ca4Bi6O13
582,,2.6,Ca5(Bi7O13)2
583,mp-30367,0.0,Ca5Au2
584,mp-6632,6.53,Ca5B3O9F
585,mp-570356,0.0,Ca5Ir
586,mp-17564,0.0,Ca5Sb3
587,,0.0,Ca5Sn4S13
588,mp-542496,0.0,Ca6Ag16N
589,mp-579544,0.0,Ca6Cu2Sn7
590,,0.0,CaAgF5
591,mp-568920,0.0,CaAu5
592,mp-865,4.5,CaB6
593,,0.0,CaCdPd2
594,,0.0,CaCdSi
595,mp-1882,0.0,CaCu5
596,,0.0,CaEu2O3
597,,0.0,CaEuO2
598,mp-2741,9.92,CaF2
599,mp-11431,0.0,CaGa3Ni2
600,mp-567485,0.0,CaGaAu3
601,mp-541310,0.0,CaGaGe
602,mp-13286,0.0,CaGe2
603,,0.0,CaHfZn
604,mp-11287,0.0,CaHg2
605,mp-30031,5.98,CaI2
606,mp-20846,0.0,CaIn2Ir
607,mp-20838,0.0,CaIn4Ir
608,mp-20378,0.0,CaInAu
609,mp-570689,0.0,CaInPt
610,mp-4243,0.0,CaIrO3
611,mp-5795,3.25,CaMg2N2
612,mp-4864,0.0,CaMgSn
613,mp-20233,0.0,CaMnSn
614,mp-774,0.0,CaNi5
615,,0.0,CaOsO3
616,mp-20034,0.0,CaPb
617,,0.0,CaPd3C
618,,0.0,CaPrZn2
619,mp-4190,4.4,CaSnO3
620,,2.4,CaTaNO2
621,,0.0,CaTi4O8
622,,0.0,CaTiO2
623,,0.0,CaVO2
624,mp-541276,0.0,CaYbInSe4
625,mp-1725,0.0,CaZn2
626,,0.0,CaZn3
627,mp-542953,0.0,CaZn3Ni2
628,mp-1734,0.0,CaZn5
629,mp-7204,3.7,CaZnSO
630,mp-4452,3.4,Cd(GaS2)2
631,,1.17,Cd(In15Te23)2
632,,3.76,Cd(PS2)2
633,,0.72,Cd0.01Ga0.99Sb0.99Te0.01
634,,1.72,Cd0.01Hg0.99Se1
635,,0.76,Cd0.01In0.99Te0.01As0.99
636,,0.73,Cd0.02In0.98Te0.02As0.98
637,,0.71,Cd0.03In0.97Te0.03As0.97
638,,0.69,Cd0.04In0.96Te0.04As0.96
639,,0.74,Cd0.05Ga0.95Sb0.95Te0.05
640,,0.68,Cd0.05In0.95Te0.05As0.95
641,,0.68,Cd0.06In0.94Te0.06As0.94
642,,0.68,Cd0.07In0.93Te0.07As0.93
643,,0.78,Cd0.1Ga0.9Sb0.9Te0.1
644,,0.69,Cd0.1In0.9Te0.1As0.9
645,,0.06,Cd0.204Hg0.796Te1
646,,0.12,Cd0.23Hg0.77Te1
647,,0.21,Cd0.28Hg0.72Te1
648,,0.8,Cd0.2Ga0.8Sb0.8Te0.2
649,,0.42,Cd0.2In2.4Ag0.4Te4
650,,0.28,Cd0.35Hg0.65Te1
651,,0.35,Cd0.37Hg0.63Te1
652,,1.1,Cd0.3Hg0.7Se1
653,,0.27,Cd0.3Hg0.7Te1
654,,0.95,Cd0.4Hg0.6Se1
655,,0.8,Cd0.5Hg0.5Se1
656,,0.39,Cd0.5In2.25Ag0.25Te4
657,,0.19,Cd0.5In2.2Ag0.4Te4
658,,0.7,Cd0.6Hg0.4Se1
659,,0.54,Cd0.75In2.1Ag0.2Te4
660,,0.55,Cd0.7Hg0.3Se1
661,,0.45,Cd0.8Hg0.2Se1
662,,0.29,Cd0.8In2.1Ag0.1Te4
663,,1.35,Cd0.99Ga0.01Sb0.01Te0.99
664,,0.29,Cd0.99Hg0.01Se1
665,,0.35,Cd0.9Hg0.1Se1
666,mp-1204954,4.29,Cd12Ge17(B4O29)2
667,mp-703595,0.0,Cd13I28
668,,2.4,Cd1Se0.01S0.99
669,,2.23,Cd1Se0.2S0.8
670,,2.13,Cd1Se0.35S0.65
671,,2.05,Cd1Se0.45S0.55
672,,1.93,Cd1Se0.65S0.35
673,,1.68,Cd1Se0.99S0.01
674,,0.0,Cd2AgRh
675,,0.47,Cd2InAgTe3
676,,0.7,Cd2InCuTe3
677,,0.85,Cd2InCuTe4
678,,0.0,Cd2PbO4
679,,2.56,Cd3AgPS6
680,,3.9,Cd3Bi(PO4)3
681,,0.2,Cd3Bi2
682,,1.23,Cd3In2(Te2S)2
683,mp-2441,0.5,Cd3P2
684,,0.3,Cd3Sb2
685,,3.81,Cd3Te2MoO10
686,mp-28914,2.19,Cd4P2Br3
687,mp-29746,2.17,Cd4P2Cl3
688,mp-568545,2.17,Cd4P2I3
689,mp-29044,1.83,Cd4Sb2I3
690,,1.25,Cd4Sb3
691,,1.29,Cd5Ga2(Te3S)2
692,,0.85,Cd6P7
